year	j	panel_ref	panel_track	panel_type	panel_title	panel_description	notes
2021	20	NA	NA	Panel	The (Vanishing) Support for Integration	NA	NA
2021	21	NA	NA	Panel	Decentralization	NA	NA
2021	22	NA	NA	Panel	Polarization and Populism	NA	NA
2021	23	NA	NA	Panel	Investment and Returns of Political Careers	NA	NA
2021	24	NA	NA	Panel	Electoral Rules and Voter Turnout	NA	NA
2021	25	NA	NA	Panel	International Economic Organizations	NA	NA
2021	26	NA	NA	Panel	Model Specification and Research Design	NA	NA
2021	27	NA	NA	Panel	Elections and Conflict	NA	NA
2021	28	NA	NA	Panel	Approaches to Multi-Dimensionality	NA	NA
2021	29	NA	NA	Panel	Gender and Representation	NA	NA
2021	3	NA	NA	Panel	Partisan Cues	NA	NA
2021	30	NA	NA	Panel	The Rhetoric of Representation 1	NA	NA
2021	31	NA	NA	Panel	European Parliament	NA	NA
2021	32	NA	NA	Panel	Comparative Migration Policies	NA	NA
2021	33	NA	NA	Panel	Political Consequences of Covid-19	NA	NA
2021	34	NA	NA	Panel	Parties and Reponsiveness	NA	NA
2021	35	NA	NA	Panel	Foreign Policy	NA	NA
2021	36	NA	NA	Panel	Party Ideology	NA	NA
2021	37	NA	NA	Panel	Transition to Democracy	NA	NA
2021	38	NA	NA	Panel	The Dynamics of Civil Wars	NA	NA
2021	39	NA	NA	Panel	Direct Democracy	NA	NA
2021	40	NA	NA	Panel	The Return of Mercantilism	NA	NA
2021	41	NA	NA	Panel	Rural Foundations of the Populist Vote	NA	NA
2021	42	NA	NA	Panel	The Methodology of Text Analysis	NA	NA
2021	43	NA	NA	Panel	Modelling Political Decisions	NA	NA
2021	44	NA	NA	Panel	Framed by Media	NA	NA
2021	45	NA	NA	Panel	Attitudes on Immigration	NA	NA
2021	46	NA	NA	Panel	Corruption	NA	NA
2021	47	NA	NA	Panel	Terrorism and Counterterrorism	NA	NA
2021	48	NA	NA	Panel	Trust and Disappointment	NA	NA
2021	49	NA	NA	Panel	Public Spending	NA	NA
2021	50	NA	NA	Panel	The Nature of International Organizations	NA	NA
2021	51	NA	NA	Panel	Judicial Decisions	NA	NA
2021	52	NA	NA	Panel	Repression and Political Survival	NA	NA
2021	53	NA	NA	Panel	Inequality and its Perception	NA	NA
2021	54	NA	NA	Panel	Representation and Legitimacy	NA	NA
2021	55	NA	NA	Panel	Political Communication	NA	NA
2021	56	NA	NA	Panel	For the People? Limits of Representation	NA	NA
2021	57	NA	NA	Panel	Political Economy of Attitudes	NA	NA
2021	58	NA	NA	Panel	Nation and Identity	NA	NA
2021	59	NA	NA	Panel	Gender Stereotypes	NA	NA
2021	60	NA	NA	Panel	Survey Experiments on Partisanship	NA	NA
2021	61	NA	NA	Panel	Candidate Selection Mechanisms	NA	NA
2021	62	NA	NA	Panel	Mediating Inequality	NA	NA
2021	63	NA	NA	Panel	Regime Change	NA	NA
2021	64	NA	NA	Panel	Do you speak European?	NA	NA
2021	65	NA	NA	Panel	Discontinuities in Politics	NA	NA
2021	66	NA	NA	Panel	Politics of Covid-19	NA	NA
2021	67	NA	NA	Panel	Economic Voting	NA	NA
2021	68	NA	NA	Panel	The Strategy of Coalitions	NA	NA
2021	69	NA	NA	Panel	The Politization of the European Political Landscape	NA	NA
2021	70	NA	NA	Panel	Politics and the Public	NA	NA
2021	71	NA	NA	Panel	Winning Votes	NA	NA
2021	72	NA	NA	Panel	Protest and Mobilization	NA	NA
2021	73	NA	NA	Panel	What do Parliaments Do?	NA	NA
2021	74	NA	NA	Panel	Advances in Applied Political Methodology	NA	NA
2021	75	NA	NA	Panel	Voting and Electoral Outcomes	NA	NA
2021	76	NA	NA	Panel	Incumbency Advantages	NA	NA
2021	77	NA	NA	Panel	Judge and Jury	NA	NA
2021	78	NA	NA	Panel	Personal Traits	NA	NA
2021	79	NA	NA	Panel	International Relations and Conflict	NA	NA
2021	80	NA	NA	Panel	Support for Climate Policies	NA	NA
2021	81	NA	NA	Panel	The Technology of International Conflict	NA	NA
2021	82	NA	NA	Panel	Preference for Redistribution	NA	NA
2021	83	NA	NA	Panel	Between Loyalty and Coercion	NA	NA
2021	84	NA	NA	Panel	Historical Origins of Contemporary Politics 1	NA	NA
2021	85	NA	NA	Panel	International Organization and International Order	NA	NA
2021	86	NA	NA	Panel	Accountability	NA	NA
2021	87	NA	NA	Panel	Social Identity	NA	NA
2021	89	NA	NA	Panel	Partisan Communication	NA	NA
2021	90	NA	NA	Panel	Risk-Sharing in the EU	NA	NA
2021	91	NA	NA	Panel	The Rhetoric of Representation 2	NA	NA
2021	92	NA	NA	Panel	Defending Privileges	NA	NA
2021	93	NA	NA	Panel	Polarization and Elections	NA	NA
2021	94	NA	NA	Panel	Gender and Political Selection	NA	NA
2021	95	NA	NA	Panel	Someone like us	NA	NA
2021	96	NA	NA	Panel	The Populist Voter	NA	NA
2021	97	NA	NA	Panel	Conflict and Violence	NA	NA
2021	98	NA	NA	Panel	Surveys: Approaches and Designs	NA	NA
2021	99	NA	NA	Panel	Political Representation	NA	NA
