year	j	panel_ref	panel_track	panel_type	panel_title	panel_description	notes
2023	70567	GD08	Gender Politics and Diversity	Panel	The gendered dynamics of voter behaviour	NA	NA
2023	70568	GD07	Gender Politics and Diversity	Panel	The gendered dynamics of political participation	NA	NA
2023	70569	GD06	Gender Politics and Diversity	Panel	Gendered attitudes and behaviours	NA	NA
2023	70570	GD05	Gender Politics and Diversity	Panel	In-group/out-group attitudes and behaviours	NA	NA
2023	70571	PC08	Political Communication	Panel	Video Killed the Text-as-Data Star	NA	NA
2023	70572	PC15	Political Communication	Panel	Cool Stuff Using Twitter	NA	NA
2023	70573	PC16	Political Communication	Panel	Trust	NA	NA
2023	70574	PC17	Political Communication	Panel	Morals and Emotions	NA	NA
2023	70577	PC18	Political Communication	Panel	Elite Cues and Media Control	NA	NA
2023	70578	BO09	Behaviour and Opinion	Panel	Climate change, political representation and attitudes towards democracy	NA	NA
2023	70579	PL10	Parties and Legislatures	Panel	Parties and the Environment	NA	NA
2023	70580	PL17	Parties and Legislatures	Panel	Qualities of Parliamentary Speech	NA	NA
2023	70581	PL29	Parties and Legislatures	Panel	Groups, Interests, and Preferences	NA	NA
2023	70582	PL18	Parties and Legislatures	Panel	Issue Competition and Group Representation	NA	NA
2023	70583	PL20	Parties and Legislatures	Panel	Pandemic Politics	NA	NA
2023	70584	PL21	Parties and Legislatures	Panel	Social Media and Campaigns	NA	NA
2023	70585	PL22	Parties and Legislatures	Panel	Voter Perceptions of Parliamentary Behaviour	NA	NA
2023	70586	PL23	Parties and Legislatures	Panel	Candidates Characteristics, Electoral Success and Primaries	NA	NA
2023	70587	PL24	Parties and Legislatures	Panel	Parties and Elites in non-Democracies II	NA	NA
2023	70588	CP01	Comparative Politics	Panel	Democratic Backsliding and Autocracies	NA	NA
2023	70589	CP02	Comparative Politics	Panel	Women Politicians	NA	NA
2023	70590	CP03	Comparative Politics	Panel	Fiscal politics and public debt	NA	NA
2023	70591	CP04	Comparative Politics	Panel	Electoral Systems	NA	NA
2023	70592	CP05	Comparative Politics	Panel	Autocratic Survival and Strategies	NA	NA
2023	70593	CP13	Comparative Politics	Panel	Democratisation	NA	NA
2023	70594	CP14	Comparative Politics	Panel	The Rural/Urban Divide	NA	NA
2023	70595	CP15	Comparative Politics	Panel	Responsiveness and representation	NA	NA
2023	70596	CP16	Comparative Politics	Panel	Inequality	NA	NA
2023	70597	CP17	Comparative Politics	Panel	Immigration and attitudes	NA	NA
2023	70598	CP18	Comparative Politics	Panel	Bureaucracies and organisations	NA	NA
2023	70599	CP19	Comparative Politics	Panel	Courts and justice	NA	NA
2023	70600	CP20	Comparative Politics	Panel	Violence	NA	NA
2023	70601	CP21	Comparative Politics	Panel	Issue engagement in political space	NA	NA
2023	70602	CP22	Comparative Politics	Panel	The political effects of crises	NA	NA
2023	70605	CP23	Comparative Politics	Panel	Causes and effects of economic policies	NA	NA
2023	70606	CP24	Comparative Politics	Panel	Political Survival	NA	NA
2023	70607	CP32	Comparative Politics	Panel	Democratic quality and satisfaction	NA	NA
2023	70608	CP36	Comparative Politics	Panel	Coalitions	NA	NA
2023	70609	CP35	Comparative Politics	Panel	The politics of security	NA	NA
2023	70610	CP34	Comparative Politics	Panel	Conflict	NA	NA
2023	70611	CP33	Comparative Politics	Panel	Crisis management	NA	NA
2023	70612	CP25	Comparative Politics	Panel	Geography as a political cleavage	NA	NA
2023	70613	CP26	Comparative Politics	Panel	Political selection and representation	NA	NA
2023	70614	CP27	Comparative Politics	Panel	Ethnic politics	NA	NA
2023	70615	CP28	Comparative Politics	Panel	Populism and extremism	NA	NA
2023	70616	CP29	Comparative Politics	Panel	Mobilisation and participation	NA	NA
2023	70617	CP30	Comparative Politics	Panel	State formation and capacity	NA	NA
2023	70618	CP31	Comparative Politics	Panel	Political accountability	NA	NA
2023	70620	IR01	IR & Conflict	Panel	Politics of Elections and Violence	NA	NA
2023	70621	IR02	IR & Conflict	Panel	Public Opinion in IR	NA	NA
2023	70622	IR03	IR & Conflict	Panel	Forced Migration, Refugees, and Violence	NA	NA
2023	70623	IR04	IR & Conflict	Panel	Repertoires of Repression	NA	NA
2023	70624	IR05	IR & Conflict	Panel	Gender and Conflict	NA	NA
2023	70626	IR19	IR & Conflict	Panel	Public Opinion and Foreign Policy	NA	NA
2023	70627	IR12	IR & Conflict	Panel	Peacemaking and Peacekeeping	NA	NA
2023	70628	PE01	Political Economy	Panel	Political Economy of COVID-19	NA	NA
2023	70630	PE23	Political Economy	Panel	Political Economy of Development	NA	NA
2023	70688	IR06	IR & Conflict	Panel	Legacies of Conflict and Violence	NA	NA
2023	70689	IR07	IR & Conflict	Panel	Political Consequences of Exposure to Violence and Intergroup Prejudice	NA	NA
2023	70691	IR08	IR & Conflict	Panel	Natural Disasters and Violence	NA	NA
2023	70692	IR09	IR & Conflict	Panel	Coups, Militias, and Defections	NA	NA
2023	70694	IR10	IR & Conflict	Panel	Rebel Group Strategies	NA	NA
2023	70695	IR11	IR & Conflict	Panel	International Cooperation and Foreign Policy	NA	NA
2023	70696	IR14	IR & Conflict	Panel	Issues in Human Rights	NA	NA
2023	70697	IR15	IR & Conflict	Panel	Political Economy of Conflict	NA	NA
2023	70698	IR16	IR & Conflict	Panel	Politics of International Migration	NA	NA
2023	70699	IR23	IR & Conflict	Panel	Transitional Justice and Conflict	NA	NA
2023	70700	IR17	IR & Conflict	Panel	Institutions, Regime Change and Foreign Policy	NA	NA
2023	70701	IR18	IR & Conflict	Panel	New Developments in Human Rights Measurement	NA	NA
2023	70702	IR20	IR & Conflict	Panel	Interstate Conflict and Cooperation	NA	NA
2023	70703	IR21	IR & Conflict	Panel	Dynamics of Intrastate Conflict	NA	NA
2023	70704	IR22	IR & Conflict	Panel	Contentious Politics	NA	NA
2023	70706	PE02	Political Economy	Panel	Political Economy of the Environment	NA	NA
2023	70707	PE03	Political Economy	Panel	Money, Propaganda, and Power in Authoritarian Russia	NA	NA
2023	70708	PE04	Political Economy	Panel	New Agendas in Historical Political Economy	NA	NA
2023	70709	PE05	Political Economy	Panel	Political Economy of Climate Change	NA	NA
2023	70710	PE06	Political Economy	Panel	Mechanisms of Elite Political Influence: Evidence from Lobbying, Trade Associations and Entrepreneurship	NA	NA
2023	70711	PE07	Political Economy	Panel	Political Economy of Housing	NA	NA
2023	70712	PE08	Political Economy	Panel	Political Economy of Wealth	NA	NA
2023	70713	PE09	Political Economy	Panel	Preferences for Redistribution	NA	NA
2023	70714	PE10	Political Economy	Panel	Political Economy through Text Analysis	NA	NA
2023	70715	PE11	Political Economy	Panel	Political Economy of Politicians	NA	NA
2023	70716	PE12	Political Economy	Panel	Political Economy of Dictators and Democracy	NA	NA
2023	70717	PE13	Political Economy	Panel	Political Economy of Crimes	NA	NA
2023	70719	PE14	Political Economy	Panel	Political Economy of Labour	NA	NA
2023	70721	PE15	Political Economy	Panel	Political Economy of Automation	NA	NA
2023	70724	PE16	Political Economy	Panel	Political Economy of Bureaucrats and Governance	NA	NA
2023	70725	PE17	Political Economy	Panel	Political Economy of Elections	NA	NA
2023	70726	PE18	Political Economy	Panel	HPE of Identity	NA	NA
2023	70727	PE19	Political Economy	Panel	HPE of the State	NA	NA
2023	70728	PE20	Political Economy	Panel	HPE of Economic Origins	NA	NA
2023	70729	PE21	Political Economy	Panel	HPE of Democratisation	NA	NA
2023	70730	PE22	Political Economy	Panel	HPE of Crisis	NA	NA
2023	70778	BO01	Behaviour and Opinion	Panel	Affective polarization around old and new divisions	NA	NA
2023	70779	BO02	Behaviour and Opinion	Panel	Affective polarization considers Identity	NA	NA
2023	70780	BO03	Behaviour and Opinion	Panel	Attitudes towards environmental awareness and climate policy	NA	NA
2023	70781	BO04	Behaviour and Opinion	Panel	Attitudes towards racism and immigration	NA	NA
2023	70782	BO05	Behaviour and Opinion	Panel	Causes and consequences of political violence	NA	NA
2023	70783	NA	NA	Roundtable	SE2 Diversity Roundtable: Regional Inequalities	NA	NA
2023	70786	NA	NA	Roundtable	SE3 Scottish Independence Roundtable	NA	NA
2023	70787	BO06	Behaviour and Opinion	Panel	Citizen perceptions of incumbents and parties	NA	NA
2023	70788	BO07	Behaviour and Opinion	Panel	Citizen representation preferences in times of crisis	NA	NA
2023	70790	PC19	Political Communication	Panel	The Positives and Negatives of Campaigning	NA	NA
2023	70791	BO10	Behaviour and Opinion	Panel	Decentralization and political behaviour	NA	NA
2023	70792	BO11	Behaviour and Opinion	Panel	Deliberative assemblies and democratic legitimacy	NA	NA
2023	70793	BO15	Behaviour and Opinion	Panel	Descriptive and Interest Representation	NA	NA
2023	70794	BO12	Behaviour and Opinion	Panel	Democratic norms in the Context of Democratic Backsliding	NA	NA
2023	70795	BO13	Behaviour and Opinion	Panel	Democratic Support and Elections	NA	NA
2023	70796	BO14	Behaviour and Opinion	Panel	Democratic trade-offs, norms and polarization	NA	NA
2023	70797	BO16	Behaviour and Opinion	Panel	Drivers of affective polarization	NA	NA
2023	70798	BO17	Behaviour and Opinion	Panel	Economic conditions, elite cues and support for climate policy	NA	NA
2023	70799	BO18	Behaviour and Opinion	Panel	Economic Inequality and Social Cleavages	NA	NA
2023	70800	BO19	Behaviour and Opinion	Panel	Economics and politics revisited: executive approval and the new calculus of support	NA	NA
2023	70801	BO20	Behaviour and Opinion	Panel	Place-based identity across the urban/rural divide	NA	NA
2023	70802	BO21	Behaviour and Opinion	Panel	Elite cues in times of crises or during campaigns	NA	NA
2023	70803	BO22	Behaviour and Opinion	Panel	Elite responsiveness and party identification	NA	NA
2023	70804	BO23	Behaviour and Opinion	Panel	Feminism, political representation and attitudes	NA	NA
2023	70805	BO24	Behaviour and Opinion	Panel	Gender and politics	NA	NA
2023	70806	BO25	Behaviour and Opinion	Panel	Historical legacies and the support for radical right parties	NA	NA
2023	70807	BO26	Behaviour and Opinion	Panel	Historical legacies, long-term attitudes and political mobilisation	NA	NA
2023	70808	BO27	Behaviour and Opinion	Panel	How to de-polarize polarized communities?	NA	NA
2023	70809	BO28	Behaviour and Opinion	Panel	Identity formation under duress	NA	NA
2023	70810	BO29	Behaviour and Opinion	Panel	Intergenerational politics	NA	NA
2023	70811	BO30	Behaviour and Opinion	Panel	Is the journey more important than the destination?	NA	NA
2023	70812	BO31	Behaviour and Opinion	Panel	Local context and (radical right) voting behaviour	NA	NA
2023	70813	BO32	Behaviour and Opinion	Panel	Media effects on attitudes	NA	NA
2023	70814	BO33	Behaviour and Opinion	Panel	Mobilization on the contemporary cleavage	NA	NA
2023	70815	BO34	Behaviour and Opinion	Panel	Morality and Polarization	NA	NA
2023	70816	BO35	Behaviour and Opinion	Panel	New approaches to political trust	NA	NA
2023	70817	BO36	Behaviour and Opinion	Panel	Online communication and hate speech in polarized societies	NA	NA
2023	70818	BO37	Behaviour and Opinion	Panel	Party Positions and Voter Alignment	NA	NA
2023	70819	BO38	Behaviour and Opinion	Panel	Perceived discrimination of minority groups	NA	NA
2023	70820	BO39	Behaviour and Opinion	Panel	Perceptions of Inequality and Political Behaviour	NA	NA
2023	70821	BO40	Behaviour and Opinion	Panel	Elite and public opinion	NA	NA
2023	70822	BO41	Behaviour and Opinion	Panel	Polarizing parties, polarizing voters	NA	NA
2023	70823	BO42	Behaviour and Opinion	Panel	Political Participation and turn-out	NA	NA
2023	70824	BO43	Behaviour and Opinion	Panel	Political Participation and Preferences in the Knowledge Economy	NA	NA
2023	70825	BO44	Behaviour and Opinion	Panel	Political accountability	NA	NA
2023	70826	BO45	Behaviour and Opinion	Panel	Politics of immigration and cross-border policies	NA	NA
2023	70827	BO46	Behaviour and Opinion	Panel	Prejudice and politics	NA	NA
2023	70829	BO47	Behaviour and Opinion	Panel	Psychological approaches to rising polarization	NA	NA
2023	70830	BO48	Behaviour and Opinion	Panel	Redistribution preferences: Psychological and contextual drivers	NA	NA
2023	70831	BO49	Behaviour and Opinion	Panel	Religion, social capital and voting behaviour	NA	NA
2023	70832	BO50	Behaviour and Opinion	Panel	Social movements, their (disruptive) tactics and effects on public attitudes	NA	NA
2023	70833	BO51	Behaviour and Opinion	Panel	Status threat and its political consequences among the natives	NA	NA
2023	70834	BO52	Behaviour and Opinion	Panel	Technocratic attitudes and political trust in times of crises	NA	NA
2023	70835	BO53	Behaviour and Opinion	Panel	Technological Change and Political Preferences	NA	NA
2023	70837	BO54	Behaviour and Opinion	Panel	The consequences of affective polarization	NA	NA
2023	70838	BO55	Behaviour and Opinion	Panel	No justice, no peace	NA	NA
2023	70839	BO56	Behaviour and Opinion	Panel	The Effects of Education on Political Behaviour	NA	NA
2023	70840	BO57	Behaviour and Opinion	Panel	The effects of inequality on political trust	NA	NA
2023	70841	BO58	Behaviour and Opinion	Panel	The gender gap revisited	NA	NA
2023	70842	BO59	Behaviour and Opinion	Panel	The many dimension of evaluating candidates	NA	NA
2023	70843	BO60	Behaviour and Opinion	Panel	The normalisation of the radical right	NA	NA
2023	70844	BO61	Behaviour and Opinion	Panel	Political effects of media exposure	NA	NA
2023	70845	BO62	Behaviour and Opinion	Panel	The political psychology of affective polarization	NA	NA
2023	70846	BO63	Behaviour and Opinion	Panel	The politics of climate change	NA	NA
2023	70847	BO64	Behaviour and Opinion	Panel	The social roots of affective polarization	NA	NA
2023	70848	BO65	Behaviour and Opinion	Panel	The urban/rural divide, polarisation and policies	NA	NA
2023	70850	BO66	Behaviour and Opinion	Panel	Theories of Voting in different Electoral Systems	NA	NA
2023	70851	BO67	Behaviour and Opinion	Panel	Threat perceptions	NA	NA
2023	70852	BO68	Behaviour and Opinion	Panel	Trust in government and politicians	NA	NA
2023	70853	BO69	Behaviour and Opinion	Panel	Understanding citizen support for democracy	NA	NA
2023	70990	BO71	Behaviour and Opinion	Panel	Voting, biases and consequences	NA	NA
2023	70991	BO70	Behaviour and Opinion	Panel	Voting and Economic Perceptions	NA	NA
2023	70992	BO72	Behaviour and Opinion	Panel	Weather experiences and attitudes towards the environment and climate policies	NA	NA
2023	71049	IR13	IR & Conflict	Panel	Social Media and Political Violence	NA	NA
2023	71286	CP08	Comparative Politics	Panel	Local versus national politics	NA	NA
2023	72233	NA	NA	NA	NA	NA	NA
2023	72240	NA	NA	Panel	CSES Panel	NA	NA
2023	74640	BO08	Behaviour and Opinion	Panel	Citizen views of policy-trade offs	NA	NA
