affiliation	url	ror_results	chosen	score	matching_type	organization.name	organization.id	organization.country.country_name
Australian National University, Australia	https://api.ror.org/organizations?affiliation=Australian+National+University,+Australia	15	TRUE	1	PHRASE	Australian National University	https://ror.org/019wvm592	Australia
Autonomous university of Barcelona (UAB), Spain	https://api.ror.org/organizations?affiliation=Autonomous+university+of+Barcelona+(UAB),+Spain	2	TRUE	1	COMMON TERMS	Autonomous University of Barcelona	https://ror.org/052g8jq94	Spain
Ben-Gurion University	https://api.ror.org/organizations?affiliation=Ben-Gurion+University	0						
Ben-Gurion University, Beer Sheva	https://api.ror.org/organizations?affiliation=Ben-Gurion+University,+Beer+Sheva	0						
BI Norwegian Business School, Oslo	https://api.ror.org/organizations?affiliation=BI+Norwegian+Business+School,+Oslo	12	TRUE	1	PHRASE	BI Norwegian Business School	https://ror.org/03ez40v33	Norway
Bilkent University, Turkey	https://api.ror.org/organizations?affiliation=Bilkent+University,+Turkey	4	TRUE	1	PHRASE	Bilkent University	https://ror.org/02vh8a032	Turkey
Binghamton University (SUNY)	https://api.ror.org/organizations?affiliation=Binghamton+University+(SUNY)	21	TRUE	1	COMMON TERMS	Binghamton University	https://ror.org/008rmbt77	United States
Binghamton University (SUNY), USA	https://api.ror.org/organizations?affiliation=Binghamton+University+(SUNY),+USA	10	TRUE	1	COMMON TERMS	Binghamton University	https://ror.org/008rmbt77	United States
Binghamton University, USA	https://api.ror.org/organizations?affiliation=Binghamton+University,+USA	8	TRUE	1	PHRASE	Binghamton University	https://ror.org/008rmbt77	United States
Birkbeck College, University of London	https://api.ror.org/organizations?affiliation=Birkbeck+College,+University+of+London	13	FALSE	1	HEURISTICS	University College London	https://ror.org/02jx3x895	United Kingdom
Birkbeck College, University of London, United Kingdom	https://api.ror.org/organizations?affiliation=Birkbeck+College,+University+of+London,+United+Kingdom	20	FALSE	1	HEURISTICS	University College London	https://ror.org/02jx3x895	United Kingdom
Birkbeck, University of London, Department of Philosophy	https://api.ror.org/organizations?affiliation=Birkbeck,+University+of+London,+Department+of+Philosophy	12	FALSE	1	HEURISTICS	University College London	https://ror.org/02jx3x895	United Kingdom
Birkbeck, University of London, London	https://api.ror.org/organizations?affiliation=Birkbeck,+University+of+London,+London	13	FALSE	1	HEURISTICS	University College London	https://ror.org/02jx3x895	United Kingdom
Bocconi University	https://api.ror.org/organizations?affiliation=Bocconi+University	19	TRUE	1	PHRASE	Bocconi University	https://ror.org/05crjpb27	Italy
Bocconi University, Italy	https://api.ror.org/organizations?affiliation=Bocconi+University,+Italy	10	TRUE	1	PHRASE	Bocconi University	https://ror.org/05crjpb27	Italy
Bocconi University, Milan	https://api.ror.org/organizations?affiliation=Bocconi+University,+Milan	25	TRUE	1	PHRASE	Mylan (South Africa)	https://ror.org/01gqqqf26	South Africa
Bocconi University, Milano	https://api.ror.org/organizations?affiliation=Bocconi+University,+Milano	28	TRUE	1	PHRASE	Bocconi University	https://ror.org/05crjpb27	Italy
Boconni University, Italy	https://api.ror.org/organizations?affiliation=Boconni+University,+Italy	10	FALSE	0.72	FUZZY	University of Pisa	https://ror.org/03ad39j10	Italy
Bradley University	https://api.ror.org/organizations?affiliation=Bradley+University	20	TRUE	1	PHRASE	Bradley University	https://ror.org/04kmeaw70	United States
Bremen, Germany	https://api.ror.org/organizations?affiliation=Bremen,+Germany	10	FALSE	0.67	COMMON TERMS	Universum Bremen	https://ror.org/05ck6jr09	Germany
Brigham Young University, USA	https://api.ror.org/organizations?affiliation=Brigham+Young+University,+USA	11	TRUE	1	PHRASE	Brigham Young University	https://ror.org/047rhhm47	United States
Brown University	https://api.ror.org/organizations?affiliation=Brown+University	20	TRUE	1	PHRASE	Brown University	https://ror.org/05gq02987	United States
Brunel University London, United Kingdom	https://api.ror.org/organizations?affiliation=Brunel+University+London,+United+Kingdom	15	TRUE	1	PHRASE	Brunel University London	https://ror.org/00dn4t376	United Kingdom
Brunel University, United Kingdom	https://api.ror.org/organizations?affiliation=Brunel+University,+United+Kingdom	7	FALSE	0.86	HEURISTICS	Brunel University London	https://ror.org/00dn4t376	United Kingdom
Cal Poly, USA	https://api.ror.org/organizations?affiliation=Cal+Poly,+USA	8	FALSE	1	PHRASE	California Polytechnic State University	https://ror.org/001gpfp45	United States
Calvin College, USA	https://api.ror.org/organizations?affiliation=Calvin+College,+USA	9	TRUE	1	PHRASE	Calvin University	https://ror.org/05r0q9p84	United States
Cardiff University	https://api.ror.org/organizations?affiliation=Cardiff+University	20	TRUE	1	PHRASE	Cardiff University	https://ror.org/03kk7td41	United Kingdom
Cardiff University, United Kingdom	https://api.ror.org/organizations?affiliation=Cardiff+University,+United+Kingdom	15	TRUE	1	PHRASE	Cardiff University	https://ror.org/03kk7td41	United Kingdom
Carl von Ossietzky Universität Oldenburg, Germany	https://api.ror.org/organizations?affiliation=Carl+von+Ossietzky+Universitat+Oldenburg,+Germany	10	TRUE	1	PHRASE	Carl von Ossietzky University of Oldenburg	https://ror.org/033n9gh91	Germany
Carleton University, Canada	https://api.ror.org/organizations?affiliation=Carleton+University,+Canada	9	TRUE	1	PHRASE	Carleton University	https://ror.org/02qtvee93	Canada
Carlos III University of Madrid	https://api.ror.org/organizations?affiliation=Carlos+III+University+of+Madrid	20	TRUE	1	PHRASE	Carlos III University of Madrid	https://ror.org/03ths8210	Spain
Center for Comparative and International Studies, ETH Zürich	https://api.ror.org/organizations?affiliation=Center+for+Comparative+and+International+Studies,+ETH+Zurich	59	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
Center for Social Sciences, Budapest	https://api.ror.org/organizations?affiliation=Center+for+Social+Sciences,+Budapest	17	TRUE	1	PHRASE	Center for Social Sciences	https://ror.org/01wb8ph33	Georgia
Center for Social Sciences, Central European University, Budapest	https://api.ror.org/organizations?affiliation=Center+for+Social+Sciences,+Central+European+University,+Budapest	42	TRUE	1	PHRASE	Center for Social Sciences	https://ror.org/01wb8ph33	Georgia
Central European University, Budapest	https://api.ror.org/organizations?affiliation=Central+European+University,+Budapest	23	TRUE	1	PHRASE	Central European University	https://ror.org/02zx40v98	Hungary
Central European University, Hungary	https://api.ror.org/organizations?affiliation=Central+European+University,+Hungary	2	TRUE	1	PHRASE	Central European University	https://ror.org/02zx40v98	Hungary
Centre for Policy Research, India	https://api.ror.org/organizations?affiliation=Centre+for+Policy+Research,+India	3	TRUE	1	PHRASE	Centre for Policy Research	https://ror.org/04jzegn30	India
Centre for Social Sciences, ELKH, Budapest	https://api.ror.org/organizations?affiliation=Centre+for+Social+Sciences,+ELKH,+Budapest	28	TRUE	1	PHRASE	Centre for Social Sciences	https://ror.org/0492k9x16	Hungary
Centre for Social Sciences, Hungarian Academy of Sciences, Hungary	https://api.ror.org/organizations?affiliation=Centre+for+Social+Sciences,+Hungarian+Academy+of+Sciences,+Hungary	10	TRUE	1	PHRASE	Hungarian Academy of Sciences	https://ror.org/02ks8qq67	Hungary
Centre for Social Sciences, Hungary	https://api.ror.org/organizations?affiliation=Centre+for+Social+Sciences,+Hungary	3	TRUE	1	PHRASE	Centre for Social Sciences	https://ror.org/0492k9x16	Hungary
Centre National de la Recherche Scientifique (CNRS), France	https://api.ror.org/organizations?affiliation=Centre+National+de+la+Recherche+Scientifique+(CNRS),+France	5	TRUE	1	COMMON TERMS	French National Centre for Scientific Research	https://ror.org/02feahw73	France
CERGE-EI, Czech Republic	https://api.ror.org/organizations?affiliation=CERGE-EI,+Czech+Republic	10	TRUE	0.9	PHRASE	O2 Czech Republic (Czechia)	https://ror.org/05dbs4128	Czechia
CESS-Nuffield-FLAME University, India	https://api.ror.org/organizations?affiliation=CESS-Nuffield-FLAME+University,+India	3	TRUE	1	COMMON TERMS	Flame University	https://ror.org/0252mqn49	India
Chapman University, Orange	https://api.ror.org/organizations?affiliation=Chapman+University,+Orange	28	FALSE	1	PHRASE	Orange (France)	https://ror.org/035j0tq82	France
Charles University	https://api.ror.org/organizations?affiliation=Charles+University	20	TRUE	1	PHRASE	Charles University	https://ror.org/024d6js02	Czechia
Charles University, Institute of Political Studies, Prague	https://api.ror.org/organizations?affiliation=Charles+University,+Institute+of+Political+Studies,+Prague	51	TRUE	1	PHRASE	Charles University	https://ror.org/024d6js02	Czechia
Charles University, Prague	https://api.ror.org/organizations?affiliation=Charles+University,+Prague	25	TRUE	1	PHRASE	Charles University	https://ror.org/024d6js02	Czechia
China University of Political Science and Law	https://api.ror.org/organizations?affiliation=China+University+of+Political+Science+and+Law	7	TRUE	1	PHRASE	China University of Political Science and Law	https://ror.org/00e49gy82	China
CIES - ISCTE (Instituto Superior de Ciências do Trabalho e da Empresa) && University of Konstanz	https://api.ror.org/organizations?affiliation=CIES+-+ISCTE+(Instituto+Superior+de+Ciencias+do+Trabalho+e+da+Empresa)+&&+University+of+Konstanz	16	TRUE	1	COMMON TERMS	Lisbon University Institute	https://ror.org/014837179	Portugal
CIES-ISCTE, Portugal	https://api.ror.org/organizations?affiliation=CIES-ISCTE,+Portugal	10	FALSE	0.83	COMMON TERMS	Portuguese Air Transportations (Portugal)	https://ror.org/02fsnvs68	Portugal
City University of New York, USA	https://api.ror.org/organizations?affiliation=City+University+of+New+York,+USA	11	TRUE	1	PHRASE	City University of New York	https://ror.org/00453a208	United States
City, University of London, London, UK	https://api.ror.org/organizations?affiliation=City,+University+of+London,+London,+UK	14	FALSE	1	HEURISTICS	University College London	https://ror.org/02jx3x895	United Kingdom
City, University of London, United Kingdom	https://api.ror.org/organizations?affiliation=City,+University+of+London,+United+Kingdom	20	FALSE	1	HEURISTICS	University College London	https://ror.org/02jx3x895	United Kingdom
Claremont Graduate University, USA	https://api.ror.org/organizations?affiliation=Claremont+Graduate+University,+USA	7	TRUE	1	PHRASE	Claremont Graduate University	https://ror.org/0157pnt69	United States
College of the Holy Cross	https://api.ror.org/organizations?affiliation=College+of+the+Holy+Cross	10	TRUE	1	PHRASE	College of the Holy Cross	https://ror.org/05dwp6855	United States
College of William & Mary, USA	https://api.ror.org/organizations?affiliation=College+of+William+&+Mary,+USA	20	FALSE	0.82	COMMON TERMS	William James College	https://ror.org/04asz2z59	United States
Collegio Carlo Alberto	https://api.ror.org/organizations?affiliation=Collegio+Carlo+Alberto	17	TRUE	1	PHRASE	Collegio Carlo Alberto	https://ror.org/0397knh37	Italy
Collegio Carlo Alberto, Italy	https://api.ror.org/organizations?affiliation=Collegio+Carlo+Alberto,+Italy	11	TRUE	1	PHRASE	Collegio Carlo Alberto	https://ror.org/0397knh37	Italy
Collegio Carlo Alberto, Torino	https://api.ror.org/organizations?affiliation=Collegio+Carlo+Alberto,+Torino	19	TRUE	1	PHRASE	Collegio Carlo Alberto	https://ror.org/0397knh37	Italy
Collegio Carlo Alberto, Turin	https://api.ror.org/organizations?affiliation=Collegio+Carlo+Alberto,+Turin	20	TRUE	1	PHRASE	Collegio Carlo Alberto	https://ror.org/0397knh37	Italy
Collegio Carloalberto	https://api.ror.org/organizations?affiliation=Collegio+Carloalberto	9	FALSE	0.74	COMMON TERMS	Collegio Carlo Alberto	https://ror.org/0397knh37	Italy
Cologne Center for Comparative Politics, Germany	https://api.ror.org/organizations?affiliation=Cologne+Center+for+Comparative+Politics,+Germany	3	FALSE	0.54	COMMON TERMS	Institut für Europäische Politik	https://ror.org/05jye0b93	Germany
Cologne Center for Comparative Politics, University of Cologne	https://api.ror.org/organizations?affiliation=Cologne+Center+for+Comparative+Politics,+University+of+Cologne	49	TRUE	1	PHRASE	University of Cologne	https://ror.org/00rcxh774	Germany
Cologne Center for Comparative Politics, University of Cologne && International Max Planck Research School on the Social and Political Constitution of the Economy, University of Cologne	https://api.ror.org/organizations?affiliation=Cologne+Center+for+Comparative+Politics,+University+of+Cologne+&&+International+Max+Planck+Research+School+on+the+Social+and+Political+Constitution+of+the+Economy,+University+of+Cologne	49	TRUE	1	PHRASE	University of Cologne	https://ror.org/00rcxh774	Germany
Cologne Center for Comparative Politics, University of Cologne, Cologne	https://api.ror.org/organizations?affiliation=Cologne+Center+for+Comparative+Politics,+University+of+Cologne,+Cologne	51	TRUE	1	PHRASE	University of Cologne	https://ror.org/00rcxh774	Germany
Cologne, Germany	https://api.ror.org/organizations?affiliation=Cologne,+Germany	9	FALSE	0.65	COMMON TERMS	German Sport University Cologne	https://ror.org/0189raq88	Germany
Columbia University Department of Political Science, New York	https://api.ror.org/organizations?affiliation=Columbia+University+Department+of+Political+Science,+New+York	11	TRUE	1	COMMON TERMS	Columbia University	https://ror.org/00hj8s172	United States
Columbia University, New York	https://api.ror.org/organizations?affiliation=Columbia+University,+New+York	14	TRUE	1	PHRASE	Columbia University	https://ror.org/00hj8s172	United States
Columbia University, USA	https://api.ror.org/organizations?affiliation=Columbia+University,+USA	11	TRUE	1	PHRASE	Columbia University	https://ror.org/00hj8s172	United States
Columbia University, USA. Columbia University, USA	https://api.ror.org/organizations?affiliation=Columbia+University,+USA.+Columbia+University,+USA	15	TRUE	1	PHRASE	Columbia University	https://ror.org/00hj8s172	United States
Copenhagen Business School - Department of International Economics, Government and Business	https://api.ror.org/organizations?affiliation=Copenhagen+Business+School+-+Department+of+International+Economics,+Government+and+Business	35	TRUE	1	COMMON TERMS	Copenhagen Business School	https://ror.org/04sppb023	Denmark
Copenhagen Business School, Denmark	https://api.ror.org/organizations?affiliation=Copenhagen+Business+School,+Denmark	5	TRUE	1	PHRASE	Copenhagen Business School	https://ror.org/04sppb023	Denmark
Cornell University	https://api.ror.org/organizations?affiliation=Cornell+University	20	TRUE	1	PHRASE	Cornell University	https://ror.org/05bnh6r87	United States
Cornell University, Ithaca, USA	https://api.ror.org/organizations?affiliation=Cornell+University,+Ithaca,+USA	10	TRUE	1	PHRASE	Cornell University	https://ror.org/05bnh6r87	United States
Cornell University, USA	https://api.ror.org/organizations?affiliation=Cornell+University,+USA	14	TRUE	1	PHRASE	Cornell University	https://ror.org/05bnh6r87	United States
Cornell, USA	https://api.ror.org/organizations?affiliation=Cornell,+USA	0						
Corvinus University of Budapest	https://api.ror.org/organizations?affiliation=Corvinus+University+of+Budapest	19	FALSE	1	HEURISTICS	Eötvös Loránd University	https://ror.org/01jsq2704	Hungary
CUNEF	https://api.ror.org/organizations?affiliation=CUNEF	0						
CYU - AGORA	https://api.ror.org/organizations?affiliation=CYU+-+AGORA	0						
Danube University Krems	https://api.ror.org/organizations?affiliation=Danube+University+Krems	19	TRUE	1	PHRASE	Danube University Krems	https://ror.org/03ef4a036	Austria
Dartmouth College, USA	https://api.ror.org/organizations?affiliation=Dartmouth+College,+USA	13	TRUE	1	PHRASE	Dartmouth College	https://ror.org/049s0rh22	United States
Dartmouth University, USA. Dartmouth, USA	https://api.ror.org/organizations?affiliation=Dartmouth+University,+USA.+Dartmouth,+USA	15	FALSE	0.77	HEURISTICS	University of Massachusetts Dartmouth	https://ror.org/00fzmm222	United States
Delhi University, India	https://api.ror.org/organizations?affiliation=Delhi+University,+India	8	TRUE	1	PHRASE	University of Delhi	https://ror.org/04gzb2213	India
Department of Comparative Politics, University of Bergen	https://api.ror.org/organizations?affiliation=Department+of+Comparative+Politics,+University+of+Bergen	41	TRUE	1	PHRASE	University of Bergen	https://ror.org/03zga2b32	Norway
Department of Comparative Politics, University of Bergen && Department of Comparative Politics, University of Bergen	https://api.ror.org/organizations?affiliation=Department+of+Comparative+Politics,+University+of+Bergen+&&+Department+of+Comparative+Politics,+University+of+Bergen	41	TRUE	1	PHRASE	University of Bergen	https://ror.org/03zga2b32	Norway
Department of Economics, University of Oslo	https://api.ror.org/organizations?affiliation=Department+of+Economics,+University+of+Oslo	45	TRUE	1	PHRASE	University of Oslo	https://ror.org/01xtthb56	Norway
Department of Government, London School of Economics and Political Science	https://api.ror.org/organizations?affiliation=Department+of+Government,+London+School+of+Economics+and+Political+Science	6	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
Department of Government, London School of economics and Political Science, London	https://api.ror.org/organizations?affiliation=Department+of+Government,+London+School+of+economics+and+Political+Science,+London	9	TRUE	1	PHRASE	London School of Economics and Political Science	https://ror.org/0090zs177	United Kingdom
Department of Government, University of Essex	https://api.ror.org/organizations?affiliation=Department+of+Government,+University+of+Essex	41	TRUE	1	PHRASE	University of Essex	https://ror.org/02nkf1q06	United Kingdom
Department of Government, University of Vienna, Austria	https://api.ror.org/organizations?affiliation=Department+of+Government,+University+of+Vienna,+Austria	12	TRUE	1	PHRASE	University of Vienna	https://ror.org/03prydq77	Austria
Department of International Studies, University of Milan	https://api.ror.org/organizations?affiliation=Department+of+International+Studies,+University+of+Milan	43	TRUE	1	PHRASE	University of Milan	https://ror.org/00wjc7c48	Italy
Department of Peace and Conflict Research, Uppsala University, Sweden	https://api.ror.org/organizations?affiliation=Department+of+Peace+and+Conflict+Research,+Uppsala+University,+Sweden	10	TRUE	1	PHRASE	Uppsala University	https://ror.org/048a87296	Sweden
Department of Political Science, Aarhus University	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+Aarhus+University	44	TRUE	1	PHRASE	Aarhus University	https://ror.org/01aj84f44	Denmark
Department of Political Science, Lund University	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+Lund+University	43	TRUE	1	PHRASE	Lund University	https://ror.org/012a77v79	Sweden
Department of Political Science, National Chengchi University, Taiwan	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+National+Chengchi+University,+Taiwan	10	TRUE	1	PHRASE	National Chengchi University	https://ror.org/03rqk8h36	Taiwan
Department of Political Science, Trinity College Dublin	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+Trinity+College+Dublin	43	FALSE	1	COMMON TERMS	Trinity College	https://ror.org/019dhar59	Canada
Department of Political Science, Université de Montréal	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+Universite+de+Montreal	41	TRUE	1	PHRASE	University of Montreal	https://ror.org/0161xgx34	Canada
Department of Political Science, University of Barcelona	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+University+of+Barcelona	44	TRUE	1	PHRASE	University of Barcelona	https://ror.org/021018s57	Spain
Department of Political Science, University of Copenhagen	https://api.ror.org/organizations?affiliation=Department+of+Political+Science,+University+of+Copenhagen	44	TRUE	1	PHRASE	University of Copenhagen	https://ror.org/035b05819	Denmark
Department of Politics and International Relations University of Oxford, Oxford	https://api.ror.org/organizations?affiliation=Department+of+Politics+and+International+Relations+University+of+Oxford,+Oxford	51	TRUE	1	COMMON TERMS	University of Oxford	https://ror.org/052gg0110	United Kingdom
Department of Politics and International Relations, University of Oxford	https://api.ror.org/organizations?affiliation=Department+of+Politics+and+International+Relations,+University+of+Oxford	65	TRUE	1	PHRASE	University of Oxford	https://ror.org/052gg0110	United Kingdom
Department of Politics, University of York	https://api.ror.org/organizations?affiliation=Department+of+Politics,+University+of+York	42	TRUE	1	PHRASE	University of York	https://ror.org/04m01e293	United Kingdom
Department of Social and Political Sciences, Bocconi University, Milan	https://api.ror.org/organizations?affiliation=Department+of+Social+and+Political+Sciences,+Bocconi+University,+Milan	79	TRUE	1	PHRASE	Mylan (South Africa)	https://ror.org/01gqqqf26	South Africa
Department of Social Sciences, Humboldt University Berlin	https://api.ror.org/organizations?affiliation=Department+of+Social+Sciences,+Humboldt+University+Berlin	35	TRUE	1	PHRASE	Department of Social Sciences	https://ror.org/01twn9665	Russia
Department of Sociology, University of Calgary, Canada	https://api.ror.org/organizations?affiliation=Department+of+Sociology,+University+of+Calgary,+Canada	6	TRUE	1	PHRASE	University of Calgary	https://ror.org/03yjb2x39	Canada
DePaul University, USA	https://api.ror.org/organizations?affiliation=DePaul+University,+USA	9	TRUE	1	PHRASE	DePaul University	https://ror.org/04xtx5t16	United States
Deutscher Bundestag, Germany	https://api.ror.org/organizations?affiliation=Deutscher+Bundestag,+Germany	19	TRUE	1	PHRASE	Deutscher Bundestag	https://ror.org/03pgn2579	Germany
Deutsches Zentrum für Intergrations- und Migrationsforschung, University of Duisburg-Essen	https://api.ror.org/organizations?affiliation=Deutsches+Zentrum+fur+Intergrations-+und+Migrationsforschung,+University+of+Duisburg-Essen	34	TRUE	1	PHRASE	University of Duisburg-Essen	https://ror.org/04mz5ra38	Germany
DEval, Germany	https://api.ror.org/organizations?affiliation=DEval,+Germany	3	FALSE	0.48	COMMON TERMS	GS1 Germany	https://ror.org/05wge1d25	Germany
Dipartimento di Scienze Sociali e Politiche, Università degli studi di Milano	https://api.ror.org/organizations?affiliation=Dipartimento+di+Scienze+Sociali+e+Politiche,+Universita+degli+studi+di+Milano	29	TRUE	1	PHRASE	University of Milan	https://ror.org/00wjc7c48	Italy
DISEIS, Universita' Cattolica del Sacro Cuore	https://api.ror.org/organizations?affiliation=DISEIS,+Universita'+Cattolica+del+Sacro+Cuore	18	TRUE	1	PHRASE	Catholic University of the Sacred Heart	https://ror.org/03h7r5v07	Italy
Division of Social Science, A5-1168A, New York University Saadiyat Island, 129188, Abu Dhabi	https://api.ror.org/organizations?affiliation=Division+of+Social+Science,+A5-1168A,+New+York+University+Saadiyat+Island,+129188,+Abu+Dhabi	9	TRUE	1	COMMON TERMS	New York University	https://ror.org/0190ak572	United States
DPhil Candidate - University of Oxford	https://api.ror.org/organizations?affiliation=DPhil+Candidate+-+University+of+Oxford	20	TRUE	1	COMMON TERMS	University of Oxford	https://ror.org/052gg0110	United Kingdom
Dublin City University, Ireland	https://api.ror.org/organizations?affiliation=Dublin+City+University,+Ireland	6	TRUE	1	PHRASE	Dublin City University	https://ror.org/04a1a1e81	Ireland
Dublin University, Trinity College Dublin	https://api.ror.org/organizations?affiliation=Dublin+University,+Trinity+College+Dublin	37	TRUE	0.92	COMMON TERMS	Trinity College Dublin	https://ror.org/02tyrky19	Ireland
Duke Kunshan University, China	https://api.ror.org/organizations?affiliation=Duke+Kunshan+University,+China	5	TRUE	1	PHRASE	Duke Kunshan University	https://ror.org/04sr5ys16	China
Duke University	https://api.ror.org/organizations?affiliation=Duke+University	20	TRUE	1	PHRASE	Duke University	https://ror.org/00py81415	United States
Duke University, Durham	https://api.ror.org/organizations?affiliation=Duke+University,+Durham	23	TRUE	1	PHRASE	Duke University	https://ror.org/00py81415	United States
Duke University, USA	https://api.ror.org/organizations?affiliation=Duke+University,+USA	10	TRUE	1	PHRASE	Duke University	https://ror.org/00py81415	United States
Durham University	https://api.ror.org/organizations?affiliation=Durham+University	20	TRUE	1	PHRASE	Durham University	https://ror.org/01v29qb04	United Kingdom
Durham University, United Kingdom	https://api.ror.org/organizations?affiliation=Durham+University,+United+Kingdom	11	TRUE	1	PHRASE	Durham University	https://ror.org/01v29qb04	United Kingdom
Emory University	https://api.ror.org/organizations?affiliation=Emory+University	21	TRUE	1	PHRASE	Emory University	https://ror.org/03czfpz43	United States
Emory University, USA	https://api.ror.org/organizations?affiliation=Emory+University,+USA	13	TRUE	1	PHRASE	Emory University	https://ror.org/03czfpz43	United States
Erasmus School of Economics, Erasmus University Rotterdam, Netherlands	https://api.ror.org/organizations?affiliation=Erasmus+School+of+Economics,+Erasmus+University+Rotterdam,+Netherlands	11	TRUE	1	PHRASE	Erasmus University Rotterdam	https://ror.org/057w15z03	Netherlands
Erasmus University Rotterdam	https://api.ror.org/organizations?affiliation=Erasmus+University+Rotterdam	19	TRUE	1	PHRASE	Erasmus University Rotterdam	https://ror.org/057w15z03	Netherlands
Erasmus University Rotterdam && Tinbergen Institute	https://api.ror.org/organizations?affiliation=Erasmus+University+Rotterdam+&&+Tinbergen+Institute	19	TRUE	1	PHRASE	Erasmus University Rotterdam	https://ror.org/057w15z03	Netherlands
Erasmus University Rotterdam, Netherlands	https://api.ror.org/organizations?affiliation=Erasmus+University+Rotterdam,+Netherlands	8	TRUE	1	PHRASE	Erasmus University Rotterdam	https://ror.org/057w15z03	Netherlands
Erasmus University, Netherlands	https://api.ror.org/organizations?affiliation=Erasmus+University,+Netherlands	9	FALSE	0.82	HEURISTICS	Erasmus University Rotterdam	https://ror.org/057w15z03	Netherlands
ESPOL, Catholic University of Lille, France	https://api.ror.org/organizations?affiliation=ESPOL,+Catholic+University+of+Lille,+France	2	TRUE	0.94	COMMON TERMS	Université Catholique de Lille	https://ror.org/025s1b152	France
Essex University, United Kingdom	https://api.ror.org/organizations?affiliation=Essex+University,+United+Kingdom	15	TRUE	0.91	COMMON TERMS	University of Essex	https://ror.org/02nkf1q06	United Kingdom
ETH Zurich	https://api.ror.org/organizations?affiliation=ETH+Zurich	1	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
ETH Zürich	https://api.ror.org/organizations?affiliation=ETH+Zurich	1	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
ETH Zurich, Switzerland	https://api.ror.org/organizations?affiliation=ETH+Zurich,+Switzerland	13	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
ETH Zürich, Switzerland	https://api.ror.org/organizations?affiliation=ETH+Zurich,+Switzerland	13	TRUE	1	PHRASE	ETH Zurich	https://ror.org/05a28rw58	Switzerland
