affiliation	affiliation_ror	affiliation_url	affiliation_ccode	affiliation_cname
Atkinson Graduate School of Management, WIllamette University, USA	Willamette University	https://ror.org/04g9e0f44	US	United States
Audencia Business School	Audencia Business School	https://ror.org/000axn811	FR	France
Australian National University, Australia	Australian National University	https://ror.org/019wvm592	AU	Australia
Autonomous University of Barcelona, Spain	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
Autonomous university of Barcelona (UAB), Spain	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
BI Norwegian Business School	BI Norwegian Business School	https://ror.org/03ez40v33	NO	Norway
BI Norwegian Business School, Norway	BI Norwegian Business School	https://ror.org/03ez40v33	NO	Norway
BI Norwegian Business School, Oslo	BI Norwegian Business School	https://ror.org/03ez40v33	NO	Norway
Bain Consulting, Canada	Bain Consulting	NA	CA	Canada
Bamberg Graduate School of Social Sciences (BAGSS), University of Bamberg	University of Bamberg	https://ror.org/01c1w6d29	DE	Germany
Bank of Spain, Spain	Bank of Spain	https://ror.org/02f26yq04	ES	Spain
Bar Ilan University, Israel	Bar-Ilan University	https://ror.org/03kgsv495	IL	Israel
Barcelona Institute of International Studies, Spain	Institut Barcelona d'Estudis Internacionals	https://ror.org/05rke5d69	ES	Spain
Barcelona University	University of Barcelona	https://ror.org/021018s57	ES	Spain
Basque Centre for Climate Change	Basque Centre for Climate Change	https://ror.org/00eqwze33	ES	Spain
Beijing Normal University-Hong Kong Baptist University	Beijing Normal University	https://ror.org/022k4wk35	CN	China
Ben-Gurion University	Ben-Gurion University of the Negev	https://ror.org/05tkyf982	IL	Israel
Ben-Gurion University, Beer Sheva	Ben-Gurion University of the Negev	https://ror.org/05tkyf982	IL	Israel
Ben-Gurion University, Israel	Ben-Gurion University of the Negev	https://ror.org/05tkyf982	IL	Israel
Bergische Universität Wuppertal, Germany	University of Wuppertal	https://ror.org/00613ak93	DE	Germany
Berkeley	University of California, Berkeley	https://ror.org/01an7q238	US	United States
Berlin Graduate School of Social Sciences (BGSS), Humboldt University of Berlin && University of Vienna	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Berlin Social Science Center (WZB), Germany	Social Science Research Center Berlin	https://ror.org/03k0z2z93	DE	Germany
Berlin Social Science Centre, Germany	Social Science Research Center Berlin	https://ror.org/03k0z2z93	DE	Germany
Bilkent University, Turkey	Bilkent University	https://ror.org/02vh8a032	TR	Turkey
Binghamton University	Binghamton University	https://ror.org/008rmbt77	US	United States
Binghamton University (SUNY)	Binghamton University	https://ror.org/008rmbt77	US	United States
Binghamton University (SUNY), USA	Binghamton University	https://ror.org/008rmbt77	US	United States
Binghamton University, USA	Binghamton University	https://ror.org/008rmbt77	US	United States
Birkbeck College, University of London	Birkbeck, University of London	https://ror.org/02mb95055	GB	United Kingdom
Birkbeck College, University of London, United Kingdom	Birkbeck, University of London	https://ror.org/02mb95055	GB	United Kingdom
Birkbeck, University of London	Birkbeck, University of London	https://ror.org/02mb95055	GB	United Kingdom
Birkbeck, University of London, Department of Philosophy	Birkbeck, University of London	https://ror.org/02mb95055	GB	United Kingdom
Birkbeck, University of London, London	Birkbeck, University of London	https://ror.org/02mb95055	GB	United Kingdom
Birkbeck, University of London, United Kingdom	University College London	https://ror.org/02jx3x895	GB	United Kingdom
Bocconi University	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Bocconi University && Utrecht University	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Bocconi University, Department of Social and Political Sciences	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Bocconi University, Italy	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Bocconi University, Milan	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Bocconi University, Milano	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Boconni University, Italy	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Bogazici University, Turkey	Boğaziçi University	https://ror.org/03z9tma90	TR	Turkey
Borda Institute	De Borda Institute	https://ror.org/02ea4kj06	GB	United Kingdom
Borys Grinchenko Kyiv University & KU Leuven	Borys Grinchenko Kyiv University	https://ror.org/01t5m8p03	UA	Ukraine
Boston College	Boston College	https://ror.org/02n2fzt79	US	United States
Boston College, USA	Boston College	https://ror.org/02n2fzt79	US	United States
Boston University	Boston University	https://ror.org/05qwgg493	US	United States
Bowdoin College	Bowdoin College	https://ror.org/03gh96r95	US	United States
Bowdoin College, USA	Bowdoin College	https://ror.org/03gh96r95	US	United States
Bradley University	Bradley University	https://ror.org/04kmeaw70	US	United States
Bremen, Germany	University of Bremen	https://ror.org/04ers2y35	DE	Germany
Brigham Young University, USA	Brigham Young University	https://ror.org/047rhhm47	US	United States
Bristol University	University of Bristol	https://ror.org/0524sp257	GB	United Kingdom
Bristol University, United Kingdom	University of Bristol	https://ror.org/0524sp257	GB	United Kingdom
Brookings Institute, USA	Brookings Institution	https://ror.org/04aj4sh46	US	United States
Brown University	Brown University	https://ror.org/05gq02987	US	United States
Brown University, USA	Brown University	https://ror.org/05gq02987	US	United States
Brown University, USA && UCSD, USA	Brown University	https://ror.org/05gq02987	US	United States
Brunel University London	Brunel University London	https://ror.org/00dn4t376	GB	United Kingdom
Brunel University London, United Kingdom	Brunel University London	https://ror.org/00dn4t376	GB	United Kingdom
Brunel University, United Kingdom	Brunel University London	https://ror.org/00dn4t376	GB	United Kingdom
Bryn Mawr College, USA	Bryn Mawr College	https://ror.org/05sjwtp51	US	United States
Bundeswehr University Munich, Germany	Universität der Bundeswehr München	https://ror.org/05kkv3f82	DE	Germany
Busara Center for Behavioral Economics, Kenya	Busara Center for Behavioral Economics	https://ror.org/032f13a22	KE	Kenya
CEE, Sciences Po, France && Sciences Po Bordeaux, France	Sciences Po	https://ror.org/05fe7ax82	FR	France
CEMFI, Spain	Centro de Estudios Monetarios y Financieros	https://ror.org/035h6g182	ES	Spain
CERGE-EI	Center for Economic Research and Graduate Education – Economics Institute	https://ror.org/0362ttz08	CZ	Czechia
CERGE-EI, Charles University in Prague and Czech Academy of Sciences	Czech University of Life Sciences Prague	https://ror.org/0415vcw02	CZ	Czechia
CERGE-EI, Czech Republic	Center for Economic Research and Graduate Education – Economics Institute	https://ror.org/0362ttz08	CZ	Czechia
CESAER UMR1041, INRAE, Institut Agro, Université Bourgogne Franche-Comté, F-21000, Dijon, France	Université Bourgogne Franche-Comté	https://ror.org/02dn7x778	FR	France
CESS-Nuffield-FLAME University, India	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
CIDE - Centro de Investigación y Docencia Económicas, Mexico	Centro de Investigación y Docencia Económicas	https://ror.org/014zxe029	MX	Mexico
CIES - ISCTE (Instituto Superior de Ciências do Trabalho e da Empresa) && University of Konstanz	Lisbon University Institute	https://ror.org/014837179	PT	Portugal
CIES-ISCTE, Portugal	Lisbon University Institute	https://ror.org/014837179	PT	Portugal
CNRS, Paris School of Economics and Ecole Normale Superieure-PSL, France	Paris School of Economics	https://ror.org/01qtp1053	FR	France
COPENHAGEN BUSINESS SCHOOL	Copenhagen Business School	https://ror.org/04sppb023	DK	Denmark
CRC 1342, University of Bremen, Germany	University of Bremen	https://ror.org/04ers2y35	DE	Germany
CUNEF	Centro de Estudios Monetarios y Financieros	https://ror.org/035h6g182	ES	Spain
CUNEF Universidad, Spain	Centro de Estudios Monetarios y Financieros	https://ror.org/035h6g182	ES	Spain
CYU - AGORA	CY Cergy Paris University	https://ror.org/043htjv09	FR	France
Cal Poly, USA	California Polytechnic State University	https://ror.org/001gpfp45	US	United States
Caltech, USA	California Institute of Technology	https://ror.org/05dxps055	US	United States
Calvin College, USA	Calvin University	https://ror.org/05r0q9p84	US	United States
Cambridge University	University of Cambridge	https://ror.org/013meh722	GB	United Kingdom
Cambridge University, United Kingdom	University of Cambridge	https://ror.org/013meh722	GB	United Kingdom
Cardiff University	Cardiff University	https://ror.org/03kk7td41	GB	United Kingdom
Cardiff University, United Kingdom	Cardiff University	https://ror.org/03kk7td41	GB	United Kingdom
Carl von Ossietzky Universität Oldenburg, Germany	Carl von Ossietzky University of Oldenburg	https://ror.org/033n9gh91	DE	Germany
Carleton University, Canada	Carleton University	https://ror.org/02qtvee93	CA	Canada
Carlos 3 university, madrid	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III University	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III University of Madrid	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III University of Madrid, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III University, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III-Juan March Institute (University Carlos III).	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III-Juan March Institute and Department of Social Sciences, Carlos III University, Spain	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carlos III-Juan March Institute. Carlos III University.	Carlos III University of Madrid	https://ror.org/03ths8210	ES	Spain
Carnegie-Mellon University, USA	Carnegie Mellon University	https://ror.org/05x2bcf33	US	United States
Center for Comparative and International Studies, ETH Zurich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
Center for Comparative and International Studies, ETH Zurich && Sciences Po, Centre d'études européennes et de politique comparée	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
Center for Comparative and International Studies, ETH Zürich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
Center for Comparative and International Studies, University of Zurich	University of Zurich	https://ror.org/02crff812	CH	Switzerland
Center for Crisis Early Warning - Universität der Bundeswehr München, Germany	Universität der Bundeswehr München	https://ror.org/05kkv3f82	DE	Germany
Center for Social Sciences, Budapest	Centre for Social Sciences	https://ror.org/0492k9x16	HU	Hungary
Center for Social Sciences, Central European University, Budapest	Centre for Social Sciences	https://ror.org/0492k9x16	HU	Hungary
Central European University	Central European University	https://ror.org/02zx40v98	AT	Austria
Central European University && Corvinus University of Budapest	Central European University	https://ror.org/02zx40v98	AT	Austria
Central European University (Vienna)	Central European University	https://ror.org/02zx40v98	AT	Austria
Central European University (Vienna) && Democracy Institute (Budapest)	Central European University	https://ror.org/02zx40v98	AT	Austria
Central European University, Austria	Central European University	https://ror.org/02zx40v98	AT	Austria
Central European University, Budapest	Central European University	https://ror.org/02zx40v98	AT	Austria
Central European University, Hungary	Central European University	https://ror.org/02zx40v98	AT	Austria
Centre National de la Recherche Scientifique (CNRS), France	French National Centre for Scientific Research	https://ror.org/02feahw73	FR	France
Centre for International Security, Hertie School	Hertie School	https://ror.org/0473a4773	DE	Germany
Centre for Policy Research, India	Centre for Policy Research	https://ror.org/04jzegn30	IN	India
Centre for Social Sciences, ELKH, Budapest	Centre for Social Sciences	https://ror.org/0492k9x16	HU	Hungary
Centre for Social Sciences, Hungarian Academy of Sciences, Hungary	Hungarian Academy of Sciences	https://ror.org/02ks8qq67	HU	Hungary
Centre for Social Sciences, Hungary	Centre for Social Sciences	https://ror.org/0492k9x16	HU	Hungary
Cevipof, Sciences Po	Sciences Po	https://ror.org/05fe7ax82	FR	France
Chapman University, Orange	Chapman University	https://ror.org/0452jzg20	US	United States
Chapman University, USA	Chapman University	https://ror.org/0452jzg20	US	United States
Charles University	Charles University	https://ror.org/024d6js02	CZ	Czechia
Charles University, Faculty of Social Sciences, Institute of Political Studies	Charles University	https://ror.org/024d6js02	CZ	Czechia
Charles University, Institute of Political Studies, Prague	Charles University	https://ror.org/024d6js02	CZ	Czechia
Charles University, Prague	Charles University	https://ror.org/024d6js02	CZ	Czechia
Chemnitz Technical University, Germany	Chemnitz University of Technology	https://ror.org/00a208s56	DE	Germany
Chemnitz University of Technology	Chemnitz University of Technology	https://ror.org/00a208s56	DE	Germany
Chemnitz University of Technology, Germany	Chemnitz University of Technology	https://ror.org/00a208s56	DE	Germany
China University of Political Science and Law	China University of Political Science and Law	https://ror.org/00e49gy82	CN	China
Chosun University	Chosun University	https://ror.org/01zt9a375	KR	South Korea
Chr. Michelsen Institute	Christian Michelsen Institute	https://ror.org/02w7rbf39	NO	Norway
City University of Hong Kong, Hong Kong	City University of Hong Kong	https://ror.org/03q8dnn23	CN	China
City University of London, United Kingdom	City, University of London	https://ror.org/04489at23	GB	United Kingdom
City University of New York	City University of New York	https://ror.org/00453a208	US	United States
City University of New York, Graduate Center	City University of New York	https://ror.org/00453a208	US	United States
City University of New York, USA	City University of New York	https://ror.org/00453a208	US	United States
City, University of London, London, UK	City, University of London	https://ror.org/04489at23	GB	United Kingdom
City, University of London, United Kingdom	City, University of London	https://ror.org/04489at23	GB	United Kingdom
Claremont Graduate University, USA	Claremont Graduate University	https://ror.org/0157pnt69	US	United States
Cluster of Excellence 'SCRIPTS - Contestations of the Liberal Script', Freie Universität Berlin	Freie Universität Berlin	https://ror.org/046ak2485	DE	Germany
College of William & Mary, USA	William & Mary	https://ror.org/03hsf0573	US	United States
College of the Holy Cross	College of the Holy Cross	https://ror.org/05dwp6855	US	United States
Collegio Carlo Alberto	Collegio Carlo Alberto	https://ror.org/0397knh37	IT	Italy
Collegio Carlo Alberto, Italy	Collegio Carlo Alberto	https://ror.org/0397knh37	IT	Italy
Collegio Carlo Alberto, Italy && University of Southern Denmark, Denmark	Collegio Carlo Alberto	https://ror.org/0397knh37	IT	Italy
Collegio Carlo Alberto, Torino	Collegio Carlo Alberto	https://ror.org/0397knh37	IT	Italy
Collegio Carlo Alberto, Turin	Collegio Carlo Alberto	https://ror.org/0397knh37	IT	Italy
Collegio Carloalberto	Collegio Carlo Alberto	https://ror.org/0397knh37	IT	Italy
Cologne Center for Comparative Politics (CCCP), University of Cologne	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Cologne Center for Comparative Politics, Germany	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Cologne Center for Comparative Politics, University of Cologne	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Cologne Center for Comparative Politics, University of Cologne && International Max Planck Research School on the Social and Political Constitution of the Economy, University of Cologne	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Cologne Center for Comparative Politics, University of Cologne, Cologne	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Cologne Center for Comparative Politics, University of Cologne, Germany	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Cologne, Germany	University of Cologne	https://ror.org/00rcxh774	DE	Germany
Colorado State University	Colorado State University	https://ror.org/03k1gpj17	US	United States
Colorado State University, USA	Colorado State University	https://ror.org/03k1gpj17	US	United States
Columbia University	Columbia University	https://ror.org/00hj8s172	US	United States
Columbia University && University of Cyprus	Columbia University	https://ror.org/00hj8s172	US	United States
Columbia University Department of Political Science	Columbia University	https://ror.org/00hj8s172	US	United States
Columbia University Department of Political Science, New York	Columbia University	https://ror.org/00hj8s172	US	United States
Columbia University, New York	Columbia University	https://ror.org/00hj8s172	US	United States
Columbia University, USA	Columbia University	https://ror.org/00hj8s172	US	United States
Columbia University, USA. Columbia University, USA	Columbia University	https://ror.org/00hj8s172	US	United States
Comenius University in Bratislava Faculty of Social and Economic Sciences	Comenius University Bratislava	https://ror.org/0587ef340	SK	Slovakia
Comparative Study of Electoral Systems (CSES), USA	Comparative Study of Electoral Systems	NA	US	United States
Complutense University	Universidad Complutense de Madrid	https://ror.org/02p0gd045	ES	Spain
Copenhagen Business School	Copenhagen Business School	https://ror.org/04sppb023	DK	Denmark
Copenhagen Business School - Department of International Economics, Government and Business	Copenhagen Business School	https://ror.org/04sppb023	DK	Denmark
Copenhagen Business School, Denmark	Copenhagen Business School	https://ror.org/04sppb023	DK	Denmark
Cornell University	Cornell University	https://ror.org/05bnh6r87	US	United States
Cornell University, Ithaca, USA	Cornell University	https://ror.org/05bnh6r87	US	United States
Cornell University, USA	Cornell University	https://ror.org/05bnh6r87	US	United States
Cornell, USA	Cornell University	https://ror.org/05bnh6r87	US	United States
Corvinus University of Budapest	Corvinus University of Budapest	https://ror.org/01vxfm326	HU	Hungary
Cuny, Graduate Center, USA	The Graduate Center, CUNY	https://ror.org/00awd9g61	US	United States
Cyprus University of Technology, Cyprus	University of Cyprus	https://ror.org/02qjrjx09	CY	Cyprus
DEval, Germany	German Institute for Development Evaluation	https://ror.org/04tmban63	DE	Germany
DISEIS, Universita' Cattolica del Sacro Cuore	Catholic University of the Sacred Heart	https://ror.org/03h7r5v07	IT	Italy
DPhil Candidate - University of Oxford	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
Danish Center for Social Science Research (VIVE), Denmark	Danish Center for Social Science Research	https://ror.org/0523ssa79	DK	Denmark
Danube University Krems	Danube University Krems	https://ror.org/03ef4a036	AT	Austria
Dartmouth College	Dartmouth College	https://ror.org/049s0rh22	US	United States
Dartmouth College, USA	Dartmouth College	https://ror.org/049s0rh22	US	United States
Dartmouth University, USA. Dartmouth, USA	University of Massachusetts Dartmouth	https://ror.org/00fzmm222	US	United States
Dartmouth, USA	Dartmouth College	https://ror.org/049s0rh22	US	United States
Data Science Lab, Hertie School	Hertie School	https://ror.org/0473a4773	DE	Germany
DePaul University, USA	DePaul University	https://ror.org/04xtx5t16	US	United States
DeZIM-Institut, Germany	Deutsches Jugendinstitut	https://ror.org/03xptr862	DE	Germany
Delhi University, India	University of Delhi	https://ror.org/04gzb2213	IN	India
Department Of Government, Uppsala University, Sweden	Uppsala University	https://ror.org/048a87296	SE	Sweden
Department for Democracy Research, University of Goettingen, Germany	University of Göttingen	https://ror.org/01y9bpm73	DE	Germany
Department of Communication, University of Illinois at Urbana-Champaign	University of Illinois Urbana-Champaign	https://ror.org/047426m28	US	United States
Department of Comparative Politics, University of Bergen	University of Bergen	https://ror.org/03zga2b32	NO	Norway
Department of Comparative Politics, University of Bergen && Department of Comparative Politics, University of Bergen	University of Bergen	https://ror.org/03zga2b32	NO	Norway
Department of Economic Sociology, University of Vienna	University of Vienna	https://ror.org/03prydq77	AT	Austria
Department of Economics, University of Oslo	University of Oslo	https://ror.org/01xtthb56	NO	Norway
Department of Economics, University of Warwick	University of Warwick	https://ror.org/01a77tt86	GB	United Kingdom
Department of Geography, Geoeconomics, and Sustainable Development. Corvinus University of Budapest.	Corvinus University of Budapest	https://ror.org/01vxfm326	HU	Hungary
Department of Government, Dartmouth College	Dartmouth College	https://ror.org/049s0rh22	US	United States
Department of Government, London School of Economics and Political Science	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
Department of Government, London School of economics and Political Science, London	London School of Economics and Political Science	https://ror.org/0090zs177	GB	United Kingdom
Department of Government, University of Essex	University of Essex	https://ror.org/02nkf1q06	GB	United Kingdom
Department of Government, University of Vienna, Austria	University of Vienna	https://ror.org/03prydq77	AT	Austria
Department of International Studies, University of Milan	University of Milan	https://ror.org/00wjc7c48	IT	Italy
Department of Peace and Conflict Research, Uppsala University, Sweden	Uppsala University	https://ror.org/048a87296	SE	Sweden
Department of Political Economy, King's College London	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
Department of Political Economy, King’s College London	King's College London	https://ror.org/0220mzb33	GB	United Kingdom
Department of Political Science Texas A&M University	Texas A&M University	https://ror.org/01f5ytq51	US	United States
Department of Political Science and International Relations, University of Geneva, Switzerland	University of Geneva	https://ror.org/01swzsf04	CH	Switzerland
Department of Political Science and International Relations, University of Southern California	University of Southern California	https://ror.org/03taz7m60	US	United States
Department of Political Science and Public Management, University of Southern Denmark	University of Southern Denmark	https://ror.org/03yrrjy16	DK	Denmark
Department of Political Science, Aarhus University	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
Department of Political Science, Central European University	Central European University	https://ror.org/02zx40v98	AT	Austria
Department of Political Science, Lund University	Lund University	https://ror.org/012a77v79	SE	Sweden
Department of Political Science, National Chengchi University, Taiwan	National Chengchi University	https://ror.org/03rqk8h36	TW	Taiwan
Department of Political Science, Trinity College Dublin	Trinity College	https://ror.org/019dhar59	CA	Canada
Department of Political Science, Universitat Autònoma de Barcelona	Autonomous University of Barcelona	https://ror.org/052g8jq94	ES	Spain
Department of Political Science, University College London	University College London	https://ror.org/02jx3x895	GB	United Kingdom
Department of Political Science, University of Barcelona	University of Barcelona	https://ror.org/021018s57	ES	Spain
Department of Political Science, University of Copenhagen	University of Copenhagen	https://ror.org/035b05819	DK	Denmark
Department of Political Science, University of Copenhagen, Denmark	University of Copenhagen	https://ror.org/035b05819	DK	Denmark
Department of Political Science, University of Duisburg-Essen	University of Duisburg-Essen	https://ror.org/04mz5ra38	DE	Germany
Department of Political Science, University of Duisburg-Essen, Germany	University of Duisburg-Essen	https://ror.org/04mz5ra38	DE	Germany
Department of Political Science, University of Kentucky	University of Kentucky	https://ror.org/02k3smh20	US	United States
Department of Political Science, University of Zurich, Switzerland	University of Zurich	https://ror.org/02crff812	CH	Switzerland
Department of Political Science, Université de Montréal	University of Montreal	https://ror.org/0161xgx34	CA	Canada
Department of Political and Social Sciences, European University Institute	European University Institute	https://ror.org/0031wrj91	IT	Italy
Department of Politics and International Relations University of Oxford, Oxford	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
Department of Politics and International Relations, University of Oxford	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
Department of Politics and International Relations, University of Oxford && Department of Political Science, University College London	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
Department of Politics and International Studies, University of Warwick	University of Warwick	https://ror.org/01a77tt86	GB	United Kingdom
Department of Politics and Society, Aalborg University	Aalborg University	https://ror.org/04m5j1k67	DK	Denmark
Department of Politics, New York University, USA	New York University	https://ror.org/0190ak572	US	United States
Department of Politics, Princeton University	Princeton University	https://ror.org/00hx57361	US	United States
Department of Politics, University of York	University of York	https://ror.org/04m01e293	GB	United Kingdom
Department of Social Policy and Intervention, University of Oxford	University of Oxford	https://ror.org/052gg0110	GB	United Kingdom
Department of Social Sciences, Humboldt University Berlin	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
Department of Social and Political Sciences, Bocconi University, Milan	Bocconi University	https://ror.org/05crjpb27	IT	Italy
Department of Sociology and Political Science, Norwegian University of Science and Technology (NTNU)	Norwegian University of Science and Technology	https://ror.org/05xg72x27	NO	Norway
Department of Sociology, University of Calgary, Canada	University of Calgary	https://ror.org/03yjb2x39	CA	Canada
Deutscher Bundestag, Germany	Deutscher Bundestag	https://ror.org/03pgn2579	DE	Germany
Deutsches Zentrum für Integrations und Migrationsforschung DeZIM e.V.	German Center for Integration and Migration Research	https://ror.org/03ym65z81	DE	Germany
Deutsches Zentrum für Integrations und Migrationsforschung DeZIM e.V. && Immigration Policy Lab, Stanford University	German Center for Integration and Migration Research	https://ror.org/03ym65z81	DE	Germany
Deutsches Zentrum für Integrations- und Migrationsforschung && University of Potsdam	German Center for Integration and Migration Research	https://ror.org/03ym65z81	DE	Germany
Deutsches Zentrum für Intergrations- und Migrationsforschung, University of Duisburg-Essen	University of Duisburg-Essen	https://ror.org/04mz5ra38	DE	Germany
Development Research Group	Institut de Recherche pour le Développement	https://ror.org/05q3vnk25	FR	France
Dipartimento di Scienze Sociali e Politiche, Università degli studi di Milano	University of Milan	https://ror.org/00wjc7c48	IT	Italy
Division of Social Science, A5-1168A, New York University Saadiyat Island, 129188, Abu Dhabi	New York University Abu Dhabi	https://ror.org/00e5k0821	AE	United Arab Emirates
Doctoral Candidate, KU Leuven	KU Leuven	https://ror.org/05f950310	BE	Belgium
Donders Institute at Radboud University, Netherlands	Radboud University Nijmegen	https://ror.org/016xsfp80	NL	Netherlands
Dublin City University	Dublin City University	https://ror.org/04a1a1e81	IE	Ireland
Dublin City University, Ireland	Dublin City University	https://ror.org/04a1a1e81	IE	Ireland
Dublin University, Trinity College Dublin	Trinity College Dublin	https://ror.org/02tyrky19	IE	Ireland
Duke Kunshan University, China	Duke Kunshan University	https://ror.org/04sr5ys16	CN	China
Duke University	Duke University	https://ror.org/00py81415	US	United States
Duke University, Durham	Duke University	https://ror.org/00py81415	US	United States
Duke University, USA	Duke University	https://ror.org/00py81415	US	United States
Durham University	Durham University	https://ror.org/01v29qb04	GB	United Kingdom
Durham University, United Kingdom	Durham University	https://ror.org/01v29qb04	GB	United Kingdom
Dynamics RTG & Humboldt University Berlin, Germany	Humboldt-Universität zu Berlin	https://ror.org/01hcx6992	DE	Germany
EBAPE-FGV, Brazil	Fundação Getulio Vargas	https://ror.org/01evzkn27	BR	Brazil
ERC postdoctoral researcher at Istanbul Bilgi University	Istanbul Bilgi University	https://ror.org/04pm4x478	TR	Turkey
ESPOL, Catholic University of Lille, France	Université Catholique de Lille	https://ror.org/025s1b152	FR	France
ETH Zurich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich && Immigration Policy Lab	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich, European Politics Research Group	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich, International Conflict Research Group	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich, Switzerland	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich, Switzerland && London School of Economics and Political Science, United Kingdom	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich, Zurich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zurich, Zurich && London School of Economics and Political Science, London	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
ETH Zürich	ETH Zurich	https://ror.org/05a28rw58	CH	Switzerland
