year	abstract_id	abstract_ref	abstract_title	abstract_text	abstract_presenters	abstract_topic
2020	0091	350	Gamson-Shapley Laws: a Formal Approach to Parliamentary Coalition Formation	We study government coalition formation in parliamentary systems. As a basis for our contribution, we consider a set of empirical assumptions formulated by Gamson in 1961, namely, Gamson's Laws, which remain at the heart of government formation forecast. Yet, predictions based on Gamson's Laws rarely point to a correct coalition structure and are limited in their ability to predict the power distribution within a government coalition, especially in the case of smaller parties. While the critical resource postulated in Gamson's approach is the percentage of votes obtained by each political party, other versions of Gamson's Laws can be derived based on a different choice of critical resource. We model the coalition formation process as a cooperative game, and provide axiomatic foundations for a version of Gamson's Laws in which the critical resource is identified as strategic influence, as measured by the Shapley value (Shapley, 1953). We compare the empirical accuracy of forecasts based on the resulting Gamson-Shapley theory versus the original Gamson's Laws for a panel of twenty-five different countries in the two most recent election cycles. We find that the Gamson-Shapley theory leads to a significantly more accurate results both in terms of predicting a correct coalition structure and power distribution within a winning coalition.	Nataliya Demyanenko	NA
2020	0084	335	Ideological differences in motivated reasoning: what mechanisms lead to polarization?	Despite numerous studies document that individuals display a confirmation bias in processing counter-attitudinal information (i.e., they are “motivated reasoners”), there is surprisingly little evidence that these biases lead to attitude polarization. One of the reasons for this apparent puzzle might be that, under certain conditions, liberal and conservatives differ in their tendency to display motivated reasoning and, as a result, to polarize in response to new information. In this study, we argue that motivated reasoning should be asymmetrical when either relational motives to maintain homogenous social networks, or when epistemic motives to reduce uncertainty are triggered. We test these mechanisms directly in a two-wave survey experiment in which we assigned participants to counter-attitudinal evidence on two salient issues in the U.S. - border control and universal healthcare - combined with novel manipulations of relational and epistemic motives. Preliminary findings indicate that in the presence of """"social cues"""" that trigger in-group/out-group motivations, conservatives are more likely to polarize in response to new information than liberals. Besides providing new evidence of how people make up their minds on salient, political issues, this study aims to identify the conditions under which conservatives and Republicans might be more prone than liberals and Democrats to engage in motivated reasoning. By analyzing potential ideological differences, we also aim to shed light on the puzzle of why evidence of attitude polarization seems so elusive, despite a political domain in which “we find bias, bias everywhere” (Taber and Lodge 2016, 82).	Davide Morisi	NA
2020	0092	1583	A post-truth public? Investigating the mechanisms of resistance to factual correction	Many recent electoral events have been characterised by false claims which, despite abundant fact-checking, were often widely believed. This led to much talk about ’post-truth’ politics. An extensive literature confirms that political misperceptions are resistant to correction. But how far does that tendency stretch? And how do post-truth surroundings affect the way people respond to expert information that challenges political beliefs? We conducted a representative survey experiment in Britain (N=2900) concerning common misperceptions – both liberal and conservative – about immigration. We follow the classic setup of misperception-correction studies but add a twist: First, we identify false beliefs about immigration and provide expert information countering one of those false beliefs. Second, we approximate ‘real world’ conditions, where expert information is rarely the final word: We show respondents a comment from a blogger or a professor giving one of three reasons to ‘take these statistics with a big pinch of salt’. Finally, we ask respondents to re-assess the false claims and answer questions explicitly testing for a post-truth mindset. Our results show that fact-checks worked: The expert statement significantly reduced belief in the false fact. However, the post-truth comment worked, too: If the fact-checker did not have the final word – if respondents read a post-truth comment before they re-evaluated the facts – then they kept the false fact on the ’true’ side of our scale.	Christine Stedtnitz	NA
2020	0099	894	The more we choose, the less we learn? Effects of media polarization and fragmentation on political knowledge in five countries	Previous research showed that differences in people’s motivations and opportunities to consume political information can widen knowledge divides within a country (Prior, 2007). However, little attention has been devoted to investigating how citizens’ interactions with their media environments explain political learning gaps across countries. We conduct a cross-national survey in five countries (Denmark, Poland, Italy, US and Switzerland) tapping respondents’ use of different news brands and platforms, and their knowledge of international and national news (N=3920). Our analyses reveal that i) the number of news outlets citizens use is positively linked to their levels of political knowledge, and ii) people need a greater number of news sources in more polarized than in less polarized-fragmented information landscapes to reach similar levels of political knowledge. Accordingly, we also find that the sources citizens use in more polarized settings tend to be more opinion-congruent and are perceived as of lower quality and more biased. Taken together, these findings speak to individuals’ coping strategies to acquire political information in different information environments, and explain why people in more polarized-fragmented landscapes tend to compensate for the (actual and perceived) shortcomings of their media contexts by using more news sources. Overall, our study sheds light on individual and contextual antecedents of political knowledge gaps and adds to our understanding of how more partisan and commercialized media environments can set higher barriers to information acquisition.	Laia Castro	NA
2020	0085	1439	Think female leader, think…? An examination of the stereotypes of male and female politicians	What do people think male and female politicians are stereotypically like? This study tests whether ‘regular’ gender stereotypes are applied in our thinking about political actors, or whether we rely on different, more specific gender stereotypes for political actors. Regular, everyday gender stereotypes might be detrimental to women’s political opportunities, as they link women to non-agentic traits. This study examines gendered political stereotypes in three ways: 1) asking respondents to list the traits they believe are widely associated with a specific social group; 2) asking which traits they themselves associate with a particular group; and 3) asking the same as 2 but in an innovative application of a list-experiment which allows respondents to mask socially undesirable answers. Thus, this article contributes both to our understanding of gender stereotypes in politics, and to list-experiment methodology.	Daphne Van der Pas	NA
2020	0093	50	Learning From Polls	Voters’ expectations of party strengths are a central part of many foundational political science theories that posit a strategic act by the voter. But how do voters develop these beliefs and how is this belief formation affected by polling reports? In this article, we present a dynamic Bayesian learning model that serves as a baseline for how beliefs are formed. This also allows us to infer how and when belief formation deviates from the theoretical ideal. We validate the model and illustrate its potential based on a number of experiments conducted on MTurk. We find encouraging results in this pilot study that validate the baseline model.	Lucas Leemann	NA
2020	0100	59	Votes and Participation: The Effect of Election Frequency on Voter Turnout	In recent decades, liberal democracies have considerably expanded the scope for citizen participation. Because of processes such as decentralisation, regional integration (e.g., European Union), frequent use of referenda and other, more idiosyncratic, institutional change, citizens are required to participate in an increasingly large number of votes. This research investigates the effect of these institutional reforms and practices on electoral participation. Building on the existing literature, we hypothesize that the unprecedented proliferation of electoral contests exerts negative effects on voting rates even in the most important elections and thus contributes to the global decline in voter turnout. We test our hypotheses using three types of analyses. First, we conduct a macro-level analysis of an original and freshly collected dataset covering an exhaustive list of national, subnational, and supranational elections and referendums held in 22 democracies since 1945. Second, we use a quasi-experimental data from the United Kingdom to better explore the causal negative effect of second-order elections on voter turnout in first-order elections. Third, we conduct a multi-level analysis of the survey data from four waves of the Comparative Study of Electoral Systems. Our research design pays particular attention to the question of causal inference. The findings have implications for a better understanding of the current participation trends, the on-going transformation of democratic citizenship, and the consequences of democratic institutional engineering.	Filip Kostelka	NA
2020	0106	347	In favour of experts or against the status quo? Technocratic attitudes and voting behaviour ten years after the Eurozone crisis	The EU has long been criticised as a driving force of depoliticisation and systemic technocracy, but the Eurozone crisis has made this issue even more salient: The economic crisis triggered the appointment of several technocratic governments, and gave the EU as well as international institutions like the IMF and the Worldbank the power to impose conditionality on countries, limiting the room for manoeuvre of national governments. Yet, the literature on citizens’ attitudes towards technocracy is still scarce, and there is little knowledge about the effects the Eurozone crisis had on citizens’ preferences for government by experts. While we know that technocratic preferences are usually linked to positive attitudes towards the EU, the underlying mechanism between these factors remains understudied, and the extent to which this association endures even in countries that underwent technocratic government during the Eurozone crisis is unexplored. This paper uses new panel survey data collected before and after the European parliament elections in May 2019 in six countries (Belgium, Germany, Greece, Ireland, Portugal and Spain). We investigate how citizens’ attitudes towards technocracy differ between creditor and debtor countries, as well as the mechanism through which EU attitudes and support for technocracy are related. Further, we explore the relationship between citizens’ technocratic attitudes and their voting behaviour in the European elections.	Lea Heyne	NA
2020	0111	456	Explaining Perceptions of Climate Change in the US	Despite extensive scientific evidence, a significant proportion of the US population does not believe that climate change is a serious problem and immediate action is necessary. We merge individual-level data on climate change perceptions and the main determinants previously identified by the literature with county-level data on an exogenous measure of local climate change to perform the first test of whether individuals' experience with climate change can override the dividing power of partisanship that appears to have captured this opinion process.	Chiara Binelli	NA
2020	0087	120	Clientelism, coercion, and vote choice: A survey experiment in a one-party state in India	This conference paper shall discuss preliminary findings from a survey experiment carried out in slums in the city of Bhubanswar in India, during January - March 2020. The survey experiment focuses on analysing the effect that different types of clientelist promises have on the vote choice of slum voters. The experiment does this by presenting slum voters with pairs of hypothetical candidates, who vary along four dimensions - party affiliation, (social) caste identity, type of clientelist offer, and degree of coerciveness in the clientelist offer made. Recent elections in India have seen intense criticism of party candidates who have openly discussed elections as a transaction in their campaign speeches. The effect of such 'quid pro quo' statements on the choice of poor voters is less explored than the effect of positive clientelist inducements. In addition to this experimental component, the survey also probes the different types of political and civic participation in which the respondents engage - from party rallies, to community groups - in order to draw further conclusions about the relationship between political participation, clientelism, and vote choice. This study builds upon extensive qualitative work done in the slums of Bhubaneswar (Orissa) that examines how those living in urban slums simultaneously participate in protest politics, mobilise votes, and engage in clientelist negotiations with politicians. The study is part of a broader dissertation project that explores the relationship between political mobilisation by citizens and the institutions of electoral politics.	Sobhi Mohanty	NA
2020	0095	985	The Cosmopolitan Illusion: Anti-Immigration Vote in the City Center	The urban-rural divide in voting for anti-immigration parties is one of the most striking patterns in contemporary Western democracies. Why are cities different? In large cities, segregation reduces the probability of contact between immigrants and natives and, hence, it reduces the salience of the immigration issue in the decision of how to cast a ballot. I show that citizens of large cities in France are more likely to vote more for far-right parties in response to immigration when segregation is low. The effect fades away as segregation increases. When the electoral response to immigration is analysed at the polling station level, i.e. when segregation is naturally controlled for, then standard results in the literature appear: (i) more immigration is associated with more far-right vote, (ii) more so if the immigrant population is very distinct from natives, (iii) more so if immigrants compete with natives for welfare.	Gloria Gennaro	NA
2020	0102	505	Democracy in Hard Times: Economic Shocks, Social Capital and Voting Patterns	In this paper, I study the economic and social network determinants of anti-establishment voting patterns in advanced democracies. More specifically, I investigate how economic shocks and social capital jointly affect voting for non-mainstream parties. As shown previously, I expect that economic downturns should favor the electoral success of anti-establishment parties (voting for populist and far-right wing parties). In order to test the effect of economic shocks I employ a novel dataset on layoffs at the regional level (the European Restructuring Dataset). On the other hand, I also expect that social capital (including both generalized trust and a higher density of social networks) should reduce the vote for anti-establishment parties. Especially so when a higher density of local social networks is associated with greater provision of local public goods. In addition, I expect an interaction between these two factors by which regional social capital should moderate the effect of economic shocks on anti-establishment parties. I develop a two-fold strategy to evaluate the empirical implications of my expectations. First, I exploit individual-survey data (ESS Rounds 1-8, ECHP and EU-SILC) aggregated at the European-region level matched with the layoffs regional data. In order to get exogenous variation in social capital measures at the European-regional level I use regional data on family types from Emmanuel Todd as an instrument. Secondly, I also develop a field-experiment in the metropolitan area of Barcelona to evaluate how economic shocks and social capital jointly affect individual voters’ levels of trust - generalized trust, institutional trust and in-group/out-group trust.	Francesc Amat	NA
2020	0107	1522	Divide and Rule: Permits, Protest, and the Opposition in Autocracies	With the costs of political repression rising, non-democratic governments around the world rely on subtler strategies of preventive protest repression. In recent decades, a restrictive protest permit system has been used to dampen dissent from Hong Kong and Singapore, to Russia and Kazakhstan. Yet, due to a lack of appropriate data, we still know very little about the effect of the protest permit system on the opposition’s ability to forge broad coalitions in electoral autocracies. Do subtle strategies of repression, imposed through the protest permit system, bolster coordination among ideologically distant opposition groups, or do they trigger a ‘sorting’ effect instead, with opposition groups of the ‘toughest’ sort and highest resolve being more likely to take to the streets, despite repression? And, how does the decision to protest without a permit influence voters' perceptions of the opposition in these regimes? To gain traction on these questions, I rely on unusually detailed, subnational data on the organizers of protest in Russia from 2017 to 2018, combining them with novel survey evidence. Findings, which suggest that the protest permit system may trigger splits among more and less risk-acceptant opposition groups, and dampen voter support for the ‘extremist’ protest organizers, have implications for debates on the changing character of repression and authoritarian resilience.	Katerina Tertytchnaya	NA
2020	0003	719	Charismatic Leaders and Democratic Backsliding	Much attention has been given to recent (real or perceived) erosion of democratic norms and practices in countries such as the United States, Brazil, Hungary, Poland, and the UK. Some have lamented that much of this democratic backsliding has been engineered by charismatic leaders unchecked by their parties---as the traditional bulwarks of liberal democracy. In this paper, we formally model the interaction between a leader occupying the chief executive and his party. We show that when parties are highly reliant on a leader's charisma to win elections, they grow less able to sanction their behavior in office. This is particularly true in settings characterized by high levels of ideological polarization. This inversion of the power dynamic between parties and politicians increases the likelihood that demagogic politicians are able to enact anti-democratic policies. We seek to test these theoretical predictons using cross-national data on leaders characteristics, changes in the quality of democracy, and autocratic reversions.	Marko Klasnja	NA
2020	0012	688	How does Kompromat Affect Politics? A Model of Transparency Regimes	Why are transparency regimes so rare - even if one side might have something to hide, why would their opponents not push for transparency? To analyze transitional justice, we build a model that explains why politicians might prefer to maintain circumstances allowing for blackmail with embarrassing skeletons in the closet instead of truth revelation. We model the interaction between an incumbent politician, an opposition politician, a strategic blackmailer, who has access to \emph{kompromat}, and voters. The incumbent and the voters know that the opposition politician may be compromised and are aware of a blackmailer. The blackmailer can release \emph{kompromat} against opposition politicians. The incumbent can implement a transparency regime, which would make blackmail impossible. We show that she, instead, might strategically opt for an non-transparency regime that would keep the skeletons in the closet as it is easier to run against a maybe-tainted opponent. Our results are corroborated with data from the Global Transitional Justice Dataset.	Monika Nalepa	NA
2020	0021	721	Reference Points and Democratic Backsliding	Recent attempts to weaken constraints of accountability on elected leaders are causing growing concerns about the state of liberal democracy. Yet, the evidence shows that electorates remain largely committed to democratic norms. This paper shows that democratic backsliding can occur even when most voters and most incumbents intrinsically value democracy. Due to voters' reference-dependent preferences, opportunistic authoritarians emerge: against their own liberal tendencies, these leaders choose to challenge norms of democracy (and then partially back down) in order to lower the standards to which voters will hold them. In equilibrium, voters do sanction serious, sudden blows to democratic norms, but electoral incentives do not inoculate against gradual backsliding---in fact, under certain conditions they encourage it. We show that polarization, voter's access to information, and institutional checks and balances all have an ambiguous effect on the occurrence of democratic backsliding.	Carlo Prato	NA
2020	0030	201	Can On-line Civic Education Induce Democratic Citizenship? Evidence from Tunisia	How do citizens who lived most of their lives under a dictatorship learn their new roles as democratic citizens? What is the most successful strategy to induce democratic values, increase political knowledge, reduce authoritarian nostalgia, and mobilise voters to participate in elections? In this study we take Tunisia, a new democracy, which overthrew its dictatorship in 2011, as a case study to investigate these questions. We thereby test the transformative power of social media by implementing an online field experiment through Facebook and Instagram. Young people are recruited through social media and were then randomly selected into three different online courses, which developed original civic education content. Here we test three different learning and persuasion strategies to induce democratic citizenship: 1. Emphasising gain of the democratic system; 2. Inducing loss aversion by pitting autocracy versus democracy and 3. Inducing self-efficacy with non-emotional knowledge transfer. We further use a placebo group, which was exposed to a non-political course. Data was collected using SurveyMonkey to get post-treatment responses on a series of key political attitudes and behaviours. The findings confirm that online civic education can have a transformative effect on democratic citizenship. The research was implemented in collaboration with the head and local office of the DC-based NGO “Democracy International”.	Anja Neundorf	NA
2020	0038	32	Voting Against Autocracy	When do voters abandon authoritarian parties and incumbents? We propose a theory according to which voters trade-off democratic principles for incumbent competence and their willingness to do so is increasing in the incumbent regime's economic performance. We evaluate this theory by examining the rise and decline of the AK Party in Turkey. We combine data on the support for AKP since its founding, a series of original survey experiments, and a case study of the 2019 Istanbul municipal election. Our findings improve our understanding of when and why voters defect from authoritarians they have previously supported.	Milan Svolik	NA
2020	0086	524	Policy making under minority governments: the bargaining success of cabinet and support parties	Even though minority cabinets have become more frequent even in countries without previous minority government experience, e.g. in the UK or Australia, we know very little about the policy making process under minority governments. In order to pass legislation effectively, minority cabinets have to be supported or at least tolerated by non-cabinet parties which in exchange obtain policy pay-offs for their legislative support. I argue that minority cabinet parties have to make fewer policy concessions to non-cabinet parties if they occupy the median position in parliament and if they have strong agenda setting powers. In contrast, I expect minority cabinets to make more concessions if there is a formal legislative agreement with non-cabinet parties. The empirical analysis is based on a new dataset on legislative decision making under seven minority governments in Denmark, Norway, and Sweden between 2010 and 2018. It contains information on the bargaining success of approx. 600 political parties on more than 75 legislative policy proposals. Following the strategy of the DEU-Project (Thomson et al. 2006), the information on the parties’ ideological positions was gathered in semi-structured expert interviews (i.e. MPs and ministers). My findings have important implications for the understanding of minority governance and contribute to the fields of policy making, legislative politics, and party competition.	Maria Thürk	NA
2020	0094	451	Political Statement Cycle	Do politicians use words without actions in election years? Extant literature has long been discussed whether politicians increase public expenditure in election years to pander to myopic voters for reelection motives. However, politicians might also propose a bigger public project to persuade voters in election years without implementing it. Such distortion in the policymaking process is not easily detectable with the data of realized policies, e.g. with public expenditure data. This study investigates words without actions using politicians' statements in the assembly minutes and deploy dictionary methods and machine learning techniques. We collect 47 prefectural assemblies' minutes in Japan, from 2001 to 2017, which include 10,372 politicians' statements. We find that politicians' statements follow election cycles: during the election years, politicians temporarily change their statements (e.g., increasing the stated amount of money in suggestive contexts and increasing their mentions of specific locations) in the budget-making process. The effects are larger for those who won a narrower election. We then discuss whether these statement changes involve policy changes, but we find in election years (1) the amount of stated money increases much more than the actual budget, (2) their statements become less consistent with the realized budget both in short- and middle-run, and (3) their effort does not increase. We also find that these changes in words without actions are associated with higher chances of winning in the next election, implying that politicians lure voters with attractive statements without changing their policies.	Tomoko Matsumoto	NA
2020	0101	43	Playing to the Gallery: How Politicians Use Emotive Rhetoric in Parliament	When and why do politicians use emotive rhetoric in parliamentary speeches? Research has shown that emotions matter in political campaigns, but we know less about their effect on legislative behavior. In this paper, we argue that politicians use emotive rhetoric to primarily appeal to voters. We thus expect that politicians are more likely to use emotive rhetoric in parliamentary speeches, the larger the general audience. Our analysis covers nearly one million parliamentary speeches held in the British parliament, the House of Commons, in the period from 2001 until 2019. We use a dictionary-based method to measure emotive rhetoric, combining the Affective Norms for English Words dictionary with word embeddings techniques to create a domain-specific dictionary. Our analysis reveals that the level of emotive rhetoric has increased since 2015 with the start of the Brexit debate. Importantly, we also show that emotive rhetoric is more pronounced in high-profile legislative debates, such as Prime Minister’s Questions Time. These findings suggest that politicians use emotive rhetoric strategically to appeal to a wider audience.	Moritz Osnabruegge	NA
2020	0108	492	Political Entrepreneurship and Party Organization	This paper aims to understand how party organization differs across challenger and mainstream parties. In earlier work, we have developed a theory of political innovation in which we view party competition as a constant struggle between mainstream parties, who as dominant market players try to defend their position, and challenger parties, who as disruptive entrepreneurs try to challenge mainstream party dominance through political innovation. In this paper we zoom in on the differences in party organization among challenger and dominant parties to show how this affects their party strategies. By analysing data cross-national and cross-temporal expert and survey data from 14 West European democracies, we highlight the complex relationship between political entrepreneurship and party organization.	Catherine E. De Vries	NA
2020	0088	107	Endogenous benchmarking limits political accountability during the Covid-19 pandemic	This paper reports comparative experimental evidence on whether and how citizens hold democratic governments accountable for their performance during the Covid-19 pandemic. Drawing on divergent theoretical perspectives, our pre-registered survey experiment conducted in three countries is designed to, first, test whether exogenously varying cross-national benchmarking information affects respondents’ overall evaluation of how their country’s government has handled the virus. Second, it tests whether pre-treatment satisfaction with the government affect the choice the benchmark. The experiments were embedded in nationally representative internet surveys in France, Germany and the UK. We find that exogenously varying benchmarking information has consistent effects on evaluations, consistent with standard theories of accountability. However, when being able to choose their information, respondents strongly select a benchmark that is in line with their prior view of the government. This is in line with theories emphasizing behavioral constraints. Taken together, these results suggest that endogenous information acquisition limits political accountability during the pandemic. This effect is likely to be most relevant when political polarization is high.	Michael Becher	NA
2020	0096	459	The Deserving and the Undeserving: ``Heuristics'' or ``Automatism''?	Recent contributions have cogently addressed the effect of public opinion on the construction and reform of social security systems. This contribution focuses on public sentiments concerning the conditionality of unemployment benefits. We exploit a vignette experiment that was embedded with Round 8 of the European Social Survey. Across the set of twenty-three different countries/ survey segments, respondents were randomly assigned different vignettes that characterize the age and family status of benefit claimants who turn down job offers due to lower payment or qualification levels or are unwilling to carry out unpaid community work in return for social transfers. Survey respondents are then inquired whether they support which level of sanctions or cuts to these benefit claimants. Our empirical findings demonstrate that deservingness cues provide strong and robust causal effects. The observational controls, which pick up material self-interest and ideological standings, are also closely linked with the outcome variable. Eventually, these effects are conditioned by the respective national contexts.	Guido Tiemann	NA
2020	0103	213	Unbreakable legacies? Redistricting, Political Capital and the Personal Vote	Political dynasties are a puzzling feature of democracies. Political capital, including the personal vote, can be shared in families and may explain why political dynasties endure. This paper provides the first causal evidence of an institutional reform that can remove these electoral advantages and break family legacies. We exploit Britain's Redistribution of Seats Act, mandating the abolition of constituencies below a population threshold. We find little evidence that redistricting affected incumbents' immediate electoral success. Yet those whose seats were abolished were less likely to have relatives entering the House of Commons afterwards. The differences are not driven by fewer immediate successions in the next election, but by having fewer new relatives running and elected over the short-run, i.e. up to 1918. Our paper highlights an understudied long-term consequence of redistricting: increased competition by shifting the distribution of power across generations.	Brenda Van Coppenolle	NA
