session_id	session_title	session_track	session_type	pid	full_name	affiliation	role	abstract_id	abstract_title	abstract_ref	abstract_presenters	abstract_text
113	Political Methodology	Political Methodology	Panel Session 3	2ad7de3b5ff2cdb73d70c8662abe732f	Nataliya Demyanenko	HHL Leipzig Graduate School of Management, Leipzig	p	0091	Gamson-Shapley Laws: a Formal Approach to Parliamentary Coalition Formation	350	Nataliya Demyanenko	We study government coalition formation in parliamentary systems. As a basis for our contribution, we consider a set of empirical assumptions formulated by Gamson in 1961, namely, Gamson's Laws, which remain at the heart of government formation forecast. Yet, predictions based on Gamson's Laws rarely point to a correct coalition structure and are limited in their ability to predict the power distribution within a government coalition, especially in the case of smaller parties. While the critical resource postulated in Gamson's approach is the percentage of votes obtained by each political party, other versions of Gamson's Laws can be derived based on a different choice of critical resource. We model the coalition formation process as a cooperative game, and provide axiomatic foundations for a version of Gamson's Laws in which the critical resource is identified as strategic influence, as measured by the Shapley value (Shapley, 1953). We compare the empirical accuracy of forecasts based on the resulting Gamson-Shapley theory versus the original Gamson's Laws for a panel of twenty-five different countries in the two most recent election cycles. We find that the Gamson-Shapley theory leads to a significantly more accurate results both in terms of predicting a correct coalition structure and power distribution within a winning coalition.
113	Political Methodology	Political Methodology	Panel Session 3	94ed6e07767c21a28843ce09f5c6e381	Pierfrancesco La Mura	HHL Leipzig Graduate School of Management, Leipzig	p	0091	Gamson-Shapley Laws: a Formal Approach to Parliamentary Coalition Formation	350	Nataliya Demyanenko	We study government coalition formation in parliamentary systems. As a basis for our contribution, we consider a set of empirical assumptions formulated by Gamson in 1961, namely, Gamson's Laws, which remain at the heart of government formation forecast. Yet, predictions based on Gamson's Laws rarely point to a correct coalition structure and are limited in their ability to predict the power distribution within a government coalition, especially in the case of smaller parties. While the critical resource postulated in Gamson's approach is the percentage of votes obtained by each political party, other versions of Gamson's Laws can be derived based on a different choice of critical resource. We model the coalition formation process as a cooperative game, and provide axiomatic foundations for a version of Gamson's Laws in which the critical resource is identified as strategic influence, as measured by the Shapley value (Shapley, 1953). We compare the empirical accuracy of forecasts based on the resulting Gamson-Shapley theory versus the original Gamson's Laws for a panel of twenty-five different countries in the two most recent election cycles. We find that the Gamson-Shapley theory leads to a significantly more accurate results both in terms of predicting a correct coalition structure and power distribution within a winning coalition.
115	Political Communications	Political Communications	Panel Session 3	4161ab07b395e0d1eb44d88fb87010ea	Spyros Kosmidis	University of Oxford, UK	c	NA	NA	NA	NA	NA
115	Political Communications	Political Communications	Panel Session 3	5fe5fef819dc9592896556e2f598f9ac	Davide Morisi	Collegio Carlo Alberto, Turin	p	0084	Ideological differences in motivated reasoning: what mechanisms lead to polarization?	335	Davide Morisi	Despite numerous studies document that individuals display a confirmation bias in processing counter-attitudinal information (i.e., they are “motivated reasoners”), there is surprisingly little evidence that these biases lead to attitude polarization. One of the reasons for this apparent puzzle might be that, under certain conditions, liberal and conservatives differ in their tendency to display motivated reasoning and, as a result, to polarize in response to new information. In this study, we argue that motivated reasoning should be asymmetrical when either relational motives to maintain homogenous social networks, or when epistemic motives to reduce uncertainty are triggered. We test these mechanisms directly in a two-wave survey experiment in which we assigned participants to counter-attitudinal evidence on two salient issues in the U.S. - border control and universal healthcare - combined with novel manipulations of relational and epistemic motives. Preliminary findings indicate that in the presence of ""social cues"" that trigger in-group/out-group motivations, conservatives are more likely to polarize in response to new information than liberals. Besides providing new evidence of how people make up their minds on salient, political issues, this study aims to identify the conditions under which conservatives and Republicans might be more prone than liberals and Democrats to engage in motivated reasoning. By analyzing potential ideological differences, we also aim to shed light on the puzzle of why evidence of attitude polarization seems so elusive, despite a political domain in which “we find bias, bias everywhere” (Taber and Lodge 2016, 82).
115	Political Communications	Political Communications	Panel Session 3	b5874ec1e5bfaba5c697522622c0b57e	Matthew Goldberg	Yale University, New Haven	p	0084	Ideological differences in motivated reasoning: what mechanisms lead to polarization?	335	Davide Morisi	Despite numerous studies document that individuals display a confirmation bias in processing counter-attitudinal information (i.e., they are “motivated reasoners”), there is surprisingly little evidence that these biases lead to attitude polarization. One of the reasons for this apparent puzzle might be that, under certain conditions, liberal and conservatives differ in their tendency to display motivated reasoning and, as a result, to polarize in response to new information. In this study, we argue that motivated reasoning should be asymmetrical when either relational motives to maintain homogenous social networks, or when epistemic motives to reduce uncertainty are triggered. We test these mechanisms directly in a two-wave survey experiment in which we assigned participants to counter-attitudinal evidence on two salient issues in the U.S. - border control and universal healthcare - combined with novel manipulations of relational and epistemic motives. Preliminary findings indicate that in the presence of ""social cues"" that trigger in-group/out-group motivations, conservatives are more likely to polarize in response to new information than liberals. Besides providing new evidence of how people make up their minds on salient, political issues, this study aims to identify the conditions under which conservatives and Republicans might be more prone than liberals and Democrats to engage in motivated reasoning. By analyzing potential ideological differences, we also aim to shed light on the puzzle of why evidence of attitude polarization seems so elusive, despite a political domain in which “we find bias, bias everywhere” (Taber and Lodge 2016, 82).
115	Political Communications	Political Communications	Panel Session 3	c1be46eca7932ec2beaf59e475965f94	John Jost	New York University, New York	p	0084	Ideological differences in motivated reasoning: what mechanisms lead to polarization?	335	Davide Morisi	Despite numerous studies document that individuals display a confirmation bias in processing counter-attitudinal information (i.e., they are “motivated reasoners”), there is surprisingly little evidence that these biases lead to attitude polarization. One of the reasons for this apparent puzzle might be that, under certain conditions, liberal and conservatives differ in their tendency to display motivated reasoning and, as a result, to polarize in response to new information. In this study, we argue that motivated reasoning should be asymmetrical when either relational motives to maintain homogenous social networks, or when epistemic motives to reduce uncertainty are triggered. We test these mechanisms directly in a two-wave survey experiment in which we assigned participants to counter-attitudinal evidence on two salient issues in the U.S. - border control and universal healthcare - combined with novel manipulations of relational and epistemic motives. Preliminary findings indicate that in the presence of ""social cues"" that trigger in-group/out-group motivations, conservatives are more likely to polarize in response to new information than liberals. Besides providing new evidence of how people make up their minds on salient, political issues, this study aims to identify the conditions under which conservatives and Republicans might be more prone than liberals and Democrats to engage in motivated reasoning. By analyzing potential ideological differences, we also aim to shed light on the puzzle of why evidence of attitude polarization seems so elusive, despite a political domain in which “we find bias, bias everywhere” (Taber and Lodge 2016, 82).
115	Political Communications	Political Communications	Panel Session 3	d7b040308284d269269e32808a762834	Christine Stedtnitz	University of Essex, Colchester	p	0092	A post-truth public? Investigating the mechanisms of resistance to factual correction	1583	Christine Stedtnitz	Many recent electoral events have been characterised by false claims which, despite abundant fact-checking, were often widely believed. This led to much talk about ’post-truth’ politics. An extensive literature confirms that political misperceptions are resistant to correction. But how far does that tendency stretch? And how do post-truth surroundings affect the way people respond to expert information that challenges political beliefs? We conducted a representative survey experiment in Britain (N=2900) concerning common misperceptions – both liberal and conservative – about immigration. We follow the classic setup of misperception-correction studies but add a twist: First, we identify false beliefs about immigration and provide expert information countering one of those false beliefs. Second, we approximate ‘real world’ conditions, where expert information is rarely the final word: We show respondents a comment from a blogger or a professor giving one of three reasons to ‘take these statistics with a big pinch of salt’. Finally, we ask respondents to re-assess the false claims and answer questions explicitly testing for a post-truth mindset. Our results show that fact-checks worked: The expert statement significantly reduced belief in the false fact. However, the post-truth comment worked, too: If the fact-checker did not have the final word – if respondents read a post-truth comment before they re-evaluated the facts – then they kept the false fact on the ’true’ side of our scale.
115	Political Communications	Political Communications	Panel Session 3	85ea6d5bc832a172e9187276b3181a80	Rob Johns	University of Essex, Colchester	p	0092	A post-truth public? Investigating the mechanisms of resistance to factual correction	1583	Christine Stedtnitz	Many recent electoral events have been characterised by false claims which, despite abundant fact-checking, were often widely believed. This led to much talk about ’post-truth’ politics. An extensive literature confirms that political misperceptions are resistant to correction. But how far does that tendency stretch? And how do post-truth surroundings affect the way people respond to expert information that challenges political beliefs? We conducted a representative survey experiment in Britain (N=2900) concerning common misperceptions – both liberal and conservative – about immigration. We follow the classic setup of misperception-correction studies but add a twist: First, we identify false beliefs about immigration and provide expert information countering one of those false beliefs. Second, we approximate ‘real world’ conditions, where expert information is rarely the final word: We show respondents a comment from a blogger or a professor giving one of three reasons to ‘take these statistics with a big pinch of salt’. Finally, we ask respondents to re-assess the false claims and answer questions explicitly testing for a post-truth mindset. Our results show that fact-checks worked: The expert statement significantly reduced belief in the false fact. However, the post-truth comment worked, too: If the fact-checker did not have the final word – if respondents read a post-truth comment before they re-evaluated the facts – then they kept the false fact on the ’true’ side of our scale.
115	Political Communications	Political Communications	Panel Session 3	78f30e9ab20cbd03a36dab795ded8c93	John Bartle	University of Essex, Colchester	p	0092	A post-truth public? Investigating the mechanisms of resistance to factual correction	1583	Christine Stedtnitz	Many recent electoral events have been characterised by false claims which, despite abundant fact-checking, were often widely believed. This led to much talk about ’post-truth’ politics. An extensive literature confirms that political misperceptions are resistant to correction. But how far does that tendency stretch? And how do post-truth surroundings affect the way people respond to expert information that challenges political beliefs? We conducted a representative survey experiment in Britain (N=2900) concerning common misperceptions – both liberal and conservative – about immigration. We follow the classic setup of misperception-correction studies but add a twist: First, we identify false beliefs about immigration and provide expert information countering one of those false beliefs. Second, we approximate ‘real world’ conditions, where expert information is rarely the final word: We show respondents a comment from a blogger or a professor giving one of three reasons to ‘take these statistics with a big pinch of salt’. Finally, we ask respondents to re-assess the false claims and answer questions explicitly testing for a post-truth mindset. Our results show that fact-checks worked: The expert statement significantly reduced belief in the false fact. However, the post-truth comment worked, too: If the fact-checker did not have the final word – if respondents read a post-truth comment before they re-evaluated the facts – then they kept the false fact on the ’true’ side of our scale.
115	Political Communications	Political Communications	Panel Session 3	3681a681f26bb77e9e5d7c5424c370eb	Laia Castro	University of Zurich, Zurich	p	0099	The more we choose, the less we learn? Effects of media polarization and fragmentation on political knowledge in five countries	894	Laia Castro	Previous research showed that differences in people’s motivations and opportunities to consume political information can widen knowledge divides within a country (Prior, 2007). However, little attention has been devoted to investigating how citizens’ interactions with their media environments explain political learning gaps across countries. We conduct a cross-national survey in five countries (Denmark, Poland, Italy, US and Switzerland) tapping respondents’ use of different news brands and platforms, and their knowledge of international and national news (N=3920). Our analyses reveal that i) the number of news outlets citizens use is positively linked to their levels of political knowledge, and ii) people need a greater number of news sources in more polarized than in less polarized-fragmented information landscapes to reach similar levels of political knowledge. Accordingly, we also find that the sources citizens use in more polarized settings tend to be more opinion-congruent and are perceived as of lower quality and more biased. Taken together, these findings speak to individuals’ coping strategies to acquire political information in different information environments, and explain why people in more polarized-fragmented landscapes tend to compensate for the (actual and perceived) shortcomings of their media contexts by using more news sources. Overall, our study sheds light on individual and contextual antecedents of political knowledge gaps and adds to our understanding of how more partisan and commercialized media environments can set higher barriers to information acquisition.
115	Political Communications	Political Communications	Panel Session 3	761f115585ac7f5cf86057d337282cc5	Desiree Steppat	University of Zurich, Zurich	p	0099	The more we choose, the less we learn? Effects of media polarization and fragmentation on political knowledge in five countries	894	Laia Castro	Previous research showed that differences in people’s motivations and opportunities to consume political information can widen knowledge divides within a country (Prior, 2007). However, little attention has been devoted to investigating how citizens’ interactions with their media environments explain political learning gaps across countries. We conduct a cross-national survey in five countries (Denmark, Poland, Italy, US and Switzerland) tapping respondents’ use of different news brands and platforms, and their knowledge of international and national news (N=3920). Our analyses reveal that i) the number of news outlets citizens use is positively linked to their levels of political knowledge, and ii) people need a greater number of news sources in more polarized than in less polarized-fragmented information landscapes to reach similar levels of political knowledge. Accordingly, we also find that the sources citizens use in more polarized settings tend to be more opinion-congruent and are perceived as of lower quality and more biased. Taken together, these findings speak to individuals’ coping strategies to acquire political information in different information environments, and explain why people in more polarized-fragmented landscapes tend to compensate for the (actual and perceived) shortcomings of their media contexts by using more news sources. Overall, our study sheds light on individual and contextual antecedents of political knowledge gaps and adds to our understanding of how more partisan and commercialized media environments can set higher barriers to information acquisition.
115	Political Communications	Political Communications	Panel Session 3	ea3788bad5b5dbb168760652ab323e1d	Frank Esser	University of Zurich, Zurich	p	0099	The more we choose, the less we learn? Effects of media polarization and fragmentation on political knowledge in five countries	894	Laia Castro	Previous research showed that differences in people’s motivations and opportunities to consume political information can widen knowledge divides within a country (Prior, 2007). However, little attention has been devoted to investigating how citizens’ interactions with their media environments explain political learning gaps across countries. We conduct a cross-national survey in five countries (Denmark, Poland, Italy, US and Switzerland) tapping respondents’ use of different news brands and platforms, and their knowledge of international and national news (N=3920). Our analyses reveal that i) the number of news outlets citizens use is positively linked to their levels of political knowledge, and ii) people need a greater number of news sources in more polarized than in less polarized-fragmented information landscapes to reach similar levels of political knowledge. Accordingly, we also find that the sources citizens use in more polarized settings tend to be more opinion-congruent and are perceived as of lower quality and more biased. Taken together, these findings speak to individuals’ coping strategies to acquire political information in different information environments, and explain why people in more polarized-fragmented landscapes tend to compensate for the (actual and perceived) shortcomings of their media contexts by using more news sources. Overall, our study sheds light on individual and contextual antecedents of political knowledge gaps and adds to our understanding of how more partisan and commercialized media environments can set higher barriers to information acquisition.
115	Political Communications	Political Communications	Panel Session 3	83f6b38cc21761c253109e58b8747c06	Kimberly Gross	George Washington University, Washington DC	p	0099	The more we choose, the less we learn? Effects of media polarization and fragmentation on political knowledge in five countries	894	Laia Castro	Previous research showed that differences in people’s motivations and opportunities to consume political information can widen knowledge divides within a country (Prior, 2007). However, little attention has been devoted to investigating how citizens’ interactions with their media environments explain political learning gaps across countries. We conduct a cross-national survey in five countries (Denmark, Poland, Italy, US and Switzerland) tapping respondents’ use of different news brands and platforms, and their knowledge of international and national news (N=3920). Our analyses reveal that i) the number of news outlets citizens use is positively linked to their levels of political knowledge, and ii) people need a greater number of news sources in more polarized than in less polarized-fragmented information landscapes to reach similar levels of political knowledge. Accordingly, we also find that the sources citizens use in more polarized settings tend to be more opinion-congruent and are perceived as of lower quality and more biased. Taken together, these findings speak to individuals’ coping strategies to acquire political information in different information environments, and explain why people in more polarized-fragmented landscapes tend to compensate for the (actual and perceived) shortcomings of their media contexts by using more news sources. Overall, our study sheds light on individual and contextual antecedents of political knowledge gaps and adds to our understanding of how more partisan and commercialized media environments can set higher barriers to information acquisition.
117	Elections, Public Opinion, and Voting Behaviour	Elections, Public Opinion, and Voting Behaviour	Panel Session 3	c02b3eda492700cc663518753f373837	Marina Costa Lobo	Instituto de Ciências Sociais, Universidade de Lisboa, Lisboa	c	NA	NA	NA	NA	NA
