year	j	panel_ref	panel_track	panel_title	panel_type	panel_description	notes
2022	189	NA	NA	Information sources	Panel	NA	NA
2022	19	NA	NA	Responsiveness, intra-party politics and interest groups	Panel	NA	NA
2022	190	NA	NA	Representation and electoral systems	Panel	NA	NA
2022	191	NA	NA	Party competition and the environment	Panel	NA	NA
2022	192	NA	NA	Accountability and satisfaction with democracy	Panel	NA	NA
2022	193	NA	NA	International Political Economy	Panel	NA	NA
2022	194	NA	NA	International Relations and Domestic Politics	Panel	NA	NA
2022	195	NA	NA	International Trade	Panel	NA	NA
2022	196	NA	NA	Democratization Processes	Panel	NA	NA
2022	198	NA	NA	Vote Choice: the Effect of Parties and Candidates	Panel	NA	NA
2022	199	NA	NA	Retrospective Voting and Accountability	Panel	NA	NA
2022	2	NA	NA	Conflict: Conventional and Unconventional	Panel	NA	NA
2022	20	NA	NA	Collaboration and competition	Panel	NA	NA
2022	200	NA	NA	Electoral Systems, Strategic Voting and Timing	Panel	NA	NA
2022	201	NA	NA	Party Identification and Issue Voting	Panel	NA	NA
2022	202	NA	NA	Environmental Disasters and Environmental Attitudes	Panel	NA	NA
2022	203	NA	NA	Coalitions and Minority Governments	Panel	NA	NA
2022	204	NA	NA	Multiparty government and policy-making	Panel	NA	NA
2022	205	NA	NA	Protest, Civil Resistance, and Dissent	Panel	NA	NA
2022	206	NA	NA	Public Opinion and Public Diplomacy	Panel	NA	NA
2022	207	NA	NA	Rebel Groups and Militias	Panel	NA	NA
2022	208	NA	NA	Corruption and ways to stop it	Panel	NA	NA
2022	21	NA	NA	Addressing Challenges in the Design of Empirical Analyses	Panel	NA	NA
2022	210	NA	NA	Sources of Attitudes towards Migration	Panel	NA	NA
2022	211	NA	NA	Economic Voting	Panel	NA	NA
2022	212	NA	NA	Trade and Welfare State	Panel	NA	NA
2022	213	NA	NA	Political Behaviour and Ideology	Panel	NA	NA
2022	214	NA	NA	Cues, Emotions, Persuasion	Panel	NA	NA
2022	216	NA	NA	Legislative debates and roll-call voting	Panel	NA	NA
2022	218	NA	NA	Polarization and Geography	Panel	NA	NA
2022	219	NA	NA	Public Opinion, Mobilization and Participation	Panel	NA	NA
2022	22	NA	NA	Causes and Consequences of Sexism	Panel	NA	NA
2022	220	NA	NA	Vote Choice and Parties	Panel	NA	NA
2022	221	NA	NA	Determinants of Public Goods and Voting	Panel	NA	NA
2022	222	NA	NA	Gender Politics	Panel	NA	NA
2022	223	NA	NA	Advances in time series analysis	Panel	NA	NA
2022	224	NA	NA	Distribution and Institutional Reform	Panel	NA	NA
2022	225	NA	NA	Authoritarian Politics	Panel	NA	NA
2022	226	NA	NA	Public Opinion and Exceptional Contexts 2	Panel	NA	NA
2022	227	NA	NA	Citizens and Globalization	Panel	NA	NA
2022	229	NA	NA	Politics of Gender Equality	Panel	NA	NA
2022	230	NA	NA	What's next, Europe? Public Opinion on European Integration	Panel	NA	NA
2022	232	NA	NA	Citizen Attitudes and Redistribution 2	Panel	NA	NA
2022	233	NA	NA	Diversity in political communication	Panel	NA	NA
2022	234	NA	NA	Gender and Political Attitudes	Panel	NA	NA
2022	235	NA	NA	Political Regimes and Citizen Attitudes	Panel	NA	NA
2022	236	NA	NA	Trust and Information	Panel	NA	NA
2022	237	NA	NA	Institutions, Shocks, and Political Support	Panel	NA	NA
2022	238	NA	NA	Party Competition and Citizen Satisfaction	Panel	NA	NA
2022	239	NA	NA	Green Politics	Panel	NA	NA
2022	240	NA	NA	International economics, institutions and politics	Panel	NA	NA
2022	241	NA	NA	Origins of Radical Mobilization	Panel	NA	NA
2022	242	NA	NA	Public Opinion and Contested Issues	Panel	NA	NA
2022	244	NA	NA	Groups, Patronage, Representation	Panel	NA	NA
2022	245	NA	NA	Social Class and Religion	Panel	NA	NA
2022	246	NA	NA	Quality of Democracy and Election Integrity	Panel	NA	NA
2022	247	NA	NA	Cultural Change, Radical Right Voting and LGBT Politics	Panel	NA	NA
2022	249	NA	NA	Redistribution, Welfare State and Trust	Panel	NA	NA
2022	25	NA	NA	Advances in Causal Inference	Panel	NA	NA
2022	250	NA	NA	Polarization and Political Leaders	Panel	NA	NA
2022	251	NA	NA	Populism, Migration and Direct Democracy	Panel	NA	NA
2022	252	NA	NA	Environment, Covid, Globalization	Panel	NA	NA
2022	254	NA	NA	Electoral Manipulation and Election Oversight	Panel	NA	NA
2022	255	NA	NA	Voting Behaviour - Economic Voting and Beyond	Panel	NA	NA
2022	256	NA	NA	Election and Political Violence	Panel	NA	NA
2022	257	NA	NA	Representation : Inclusion and Exclusion	Panel	NA	NA
2022	259	NA	NA	Causes and Consequences of Polarization	Panel	NA	NA
2022	26	NA	NA	Party Organization	Panel	NA	NA
2022	260	NA	NA	Electoral Politics and Electoral Behaviour in Africa	Panel	NA	NA
2022	261	NA	NA	Historical Legacies and Contemporary Politic	Panel	NA	NA
2022	262	NA	NA	Corruption and Clientelism	Panel	NA	NA
2022	264	NA	NA	Mobilization and De-mobilization	Panel	NA	NA
2022	265	NA	NA	Elites and Regime Change	Panel	NA	NA
2022	266	NA	NA	Democratic Backsliding	Panel	NA	NA
2022	268	NA	NA	Politics of Immigration and Anti-Immigration	Panel	NA	NA
2022	269	NA	NA	Media, Disinformation and Propaganda	Panel	NA	NA
2022	27	NA	NA	Decentralization, Diffusion, and Political Power	Panel	NA	NA
2022	270	NA	NA	Voters	Panel	NA	NA
2022	271	NA	NA	Managing the Pandemic	Panel	NA	NA
2022	272	NA	NA	Government Responsiveness	Panel	NA	NA
2022	273	NA	NA	Changing Role(s) of Legislatures	Panel	NA	NA
2022	275	NA	NA	Welfare State, Welfare Chauvinism and Inequality	Panel	NA	NA
2022	276	NA	NA	Domestic Effects of International Politics	Panel	NA	NA
2022	277	NA	NA	Consequences of the Pandemic	Panel	NA	NA
2022	278	NA	NA	Trust and Mistrust	Panel	NA	NA
2022	279	NA	NA	Historical Reserach in Comparative Politics	Panel	NA	NA
2022	28	NA	NA	Parties and MEPs in the European Parliament	Panel	NA	NA
2022	29	NA	NA	Political campaigns and twitter	Panel	NA	NA
2022	30	NA	NA	Autocratic and populist communication	Panel	NA	NA
2022	31	NA	NA	Party positioning and responsiveness to societal change	Panel	NA	NA
2022	32	NA	NA	Climate Change and Contentious Politics	Panel	NA	NA
2022	33	NA	NA	Polarization and Political Psychology	Panel	NA	NA
2022	34	NA	NA	Polarization, Elites and Ideologies	Panel	NA	NA
2022	36	NA	NA	Political Elites and Regime Change	Panel	NA	NA
2022	37	NA	NA	Lobbying & Transparency	Panel	NA	NA
2022	38	NA	NA	Gender and parliaments	Panel	NA	NA
2022	39	NA	NA	Analyzing Politics and Public Policy	Panel	NA	NA
2022	4	NA	NA	Democratic Backsliding I	Panel	NA	NA
2022	40	NA	NA	Transnational Aspects of the European Union: Policymaking Processes and Member States' Reactions	Panel	NA	NA
2022	42	NA	NA	Parties, factions and activists	Panel	NA	NA
2022	43	NA	NA	Issue competition among political parties	Panel	NA	NA
2022	44	NA	NA	Climate Change, Ecocide, and Environmental Treaties	Panel	NA	NA
2022	46	NA	NA	Cleavages and Vote Choice	Panel	NA	NA
2022	48	NA	NA	Bureaucracy and Business	Panel	NA	NA
2022	5	NA	NA	Candidates	Panel	NA	NA
2022	50	NA	NA	Content of political communication II	Panel	NA	NA
2022	51	NA	NA	Economic Policymaking and International Cooperation in the European Union	Panel	NA	NA
2022	52	NA	NA	Social Media and Covid-19	Panel	NA	NA
2022	53	NA	NA	Parties and political elites	Panel	NA	NA
2022	54	NA	NA	Consequences and Legacies of Violence	Panel	NA	NA
2022	55	NA	NA	Ethnic Conflict, Power-sharing, and Intergroup Contact	Panel	NA	NA
2022	56	NA	NA	Sanctions: Initiation, Effects, and Termination	Panel	NA	NA
2022	57	NA	NA	Migration	Panel	NA	NA
2022	58	NA	NA	Patronage & Accountability	Panel	NA	NA
2022	59	NA	NA	Citizens and Taxation	Panel	NA	NA
2022	6	NA	NA	Political careers	Panel	NA	NA
2022	60	NA	NA	Inequality, Participation and Basic Income	Panel	NA	NA
2022	61	NA	NA	Causality, Prediction and Other Core Methodological Issues	Panel	NA	NA
2022	62	NA	NA	Electoral Politics	Panel	NA	NA
2022	63	NA	NA	Policy Representation and Responsiveness in the European Union	Panel	NA	NA
2022	64	NA	NA	Post-Colonial Politics in Africa	Panel	NA	NA
2022	65	NA	NA	Media, Communication, & Politics	Panel	NA	NA
2022	66	NA	NA	Evaluation of political candidates	Panel	NA	NA
2022	67	NA	NA	Party system change and programmatic competition	Panel	NA	NA
2022	7	NA	NA	Electoral Systems	Panel	NA	NA
2022	71	NA	NA	Experiments on Corruption	Panel	NA	NA
2022	72	NA	NA	Preferences for Redistribution	Panel	NA	NA
2022	73	NA	NA	Citizen Attitudes and Redistribution 1	Panel	NA	NA
2022	74	NA	NA	Political elites & affective polarization	Panel	NA	NA
2022	76	NA	NA	Democratic Backsliding II	Panel	NA	NA
2022	77	NA	NA	Comparative Judicial Politics	Panel	NA	NA
2022	78	NA	NA	Gender and Equality	Panel	NA	NA
2022	79	NA	NA	Issues and Topics	Panel	NA	NA
2022	8	NA	NA	Alliances	Panel	NA	NA
2022	80	NA	NA	Theoretical Implications of Empirical Models	Panel	NA	NA
2022	81	NA	NA	Challenges in text analysis: bias, multilingualism, and others	Panel	NA	NA
2022	82	NA	NA	Judicial Politics	Panel	NA	NA
2022	83	NA	NA	Policy Consultation and Policy Complexity in the European Union	Panel	NA	NA
2022	84	NA	NA	Experiments in political communication I	Panel	NA	NA
2022	86	NA	NA	Ideological and affective polarization	Panel	NA	NA
2022	87	NA	NA	Secessionism, Irredentism, and Territorial Control	Panel	NA	NA
2022	88	NA	NA	Income Inequality & Institutions	Panel	NA	NA
2022	89	NA	NA	European Social Democracy in Demise	Panel	NA	NA
2022	9	NA	NA	Agenda Setting and Media Coverage	Panel	NA	NA
2022	90	NA	NA	Women and European Politics	Panel	NA	NA
2022	91	NA	NA	Parliamentary Unity and Conflict	Panel	NA	NA
2022	92	NA	NA	Measurement: How parties and elites communicate	Panel	NA	NA
2022	93	NA	NA	New Political Contexts and Changing Political Actors	Panel	NA	NA
2022	94	NA	NA	Public Attitudes towards the European Union and its Institutions	Panel	NA	NA
2022	96	NA	NA	Populism and the radical right	Panel	NA	NA
2022	97	NA	NA	Party competition and challenger parties	Panel	NA	NA
2022	98	NA	NA	Human Rights	Panel	NA	NA
2022	99	NA	NA	Technology and Conflict	Panel	NA	NA
