year	abstract_id	abstract_ref	abstract_title	abstract_text	abstract_topic
2021	0353	497	Papal Dividends: Do Popes’ Political Communications Move Economic Markets?	The literature on the effect of political events on markets is attentive to the influence ofelections and institutional appointments. Less investigated is the economic impact of events related to alternative political leaders, e.g. religious authorities. This paper builds on new research on unconventional leadership and spiritual officials, focusing on the case of the Pope. We study the material implications of the utmost relevant papal communications – the encyclicals – for stakeholders associated with public issues addressed in these documents. We conjecture that investors are sensitive to Popes’ communications that clearly signal a policy approach directed at the scope of their economic activities. However, Popes have ideological leanings that make them more or less sympathetic to the use of markets to solve public issues. We expect that if a Pope leans towards a market-based approach to a specific issue, the most exposed sectors may becheerful of a papal communication and materially benefit through stock returns. Vice versa, if a Pope is skeptical of market approaches, investors may see negative returns after the papal announcement. We propose an event study that traces the impact of Pope Francis’s 2015 climate encyclical on the stocks of the global energy industry. We show that this encyclical by Francis, who is viewed as an opponent of profit-driven solutions and distinctly criticized market-based climate policy arrangements, caused renewable energy companies to lose stock value after publication. We also demonstrate that this effect is concentrated among US firms as a result of the partisan framing of the encyclical.	Political Economy, Public Policy and Administration
2021	0337	49	Dividends of Power: The Governance of Contemporary Resource Management	Do patron–client networks impeded economic development and lead to political disatisfaction among those left behind areas or do they facilitate faster, more equitable regional growth and greater satisfaction among residents? In this article, I argue that local patron–client networks leads to more unequal distribution of resources, greater variation in economic growth, and more within-region hostility to politics. I show that while patronage networks improve economic performance of favoured locations because they leave unfavoured locations behind, they also increase local animosities raising feelings of 'relative deprivation'. I test this claim by examining patronage networks amongst local board members and project funding recipients in the Rocky Mountain river basin region in Canada. Using an original regional-district–level panel data set between 2000 and 2020 and text analysis that identified patronage ties, I show that while areas with greater informal ties deliver significantly faster economic growth than those without, left behind regions also show greater disatisfaction with local politics.	Political Economy, Public Policy and Administration
2021	0354	144	Determinants of Progressive Parties’ Redistributive Politics - An Exploration	Support bases of left-wing and some liberal (‘progressive’) parties increasingly consist of wealthier voters. This presents a challenge. Though these progressive parties continue to espouse redistributive goals, a decrease in support from low-income voters implies that redistribution will be harder to achieve because parties’ positions on redistribution have been linked to the composition of their support bases. In representative democracies, it is commonly accepted that parties are meant to serve as voters’ representatives in government and that their policies ought to reflect voters’ preferences. This leads to the main question in this study: are progressive parties’ positions on redistribution responsive to the changes in the composition of their support bases? Engaging literature on intra-party politics, representation, political economy, and institutional theories of path-dependence, we use quantitative statistical modeling to examine this question in 27 EEA countries over time (1980-2020). In doing so, we are taking the first step in a larger scholarly agenda aimed at exploring how voter preferences, external institutions, and parties’ appeals to social groups determine parties' positions on redistributive policies and their electoral consequences. Challenging the argument that rational-choice calculations of utility maximization determine parties' behavior, the study introduces other internal and external influences, enhancing our understanding of important democratic practices and the party-voter linkage.	Legislative Studies and Party Politics
2021	0338	419	Negotiating policy support: Explaining bias in interest group influence on legislative party groups across policy areas	How parties interact with interest groups may matter for the quality of political representation. Legislative party groups regularly get input from numerous interest groups trying to influence the priority and design of policy proposals, but individual party groups are likely to listen more to some groups than others. This creates a bias in interest group influence on individual parties. In this paper, we shed light on what explains such bias in interest group influence on legislative party groups, and test possible party level explanations across different policy areas in Western democracies. Based on theory of parties as rational goal-seeking actors, we hypothesize that bias in interest group influence will decrease when party salience increases because parties will then be more concerned about scaring away voters. It will be especially important for parties to emerge as serious and knowledgeable on the issue. Information provided by different interest groups becomes more valuable to avoid being scrutinized for bad policy proposals. Thus, parties try to find solutions that satisfy different groups without cross-cutting party decisions. The hypothesis is tested by combining the PAIRDEM interest group survey data set with party salience data from the Manifesto Project. Multiple regression analysis controlling for media salience, party size and country fixed effects give some support for the proposed hypothesis. The findings indicate that legislative party groups do seek to balance out different concerns among interest groups on policy areas of high party salience.	Legislative Studies and Party Politics
2021	0370	556	Closing the gateway to power? When and why parties grant trade unions access to ministerial office	How do trade unions exert political influence? One important channel has been the appointment of trade unionists as government ministers. However, this arrangement relies on political parties as gatekeepers. Our theory argues that the incentives for parties to grant trade unions access to ministerial office have shifted in the postindustrial era. Not only have unions become weaker in many democracies, but electoral dealignment and programmatic change have made trade union support more dispensable for political parties. Under these conditions, even strong unions should be less successful in securing ministerial nominations. We test this hypothesis by combining data on electoral dealignment (election studies) and programmatic change (party manifestos) with a novel data set comprising information on the union background of over 4,000 ministers in 16 West European democracies between 1945 and 2020. Our results deepen our understanding of how socio-economic and political transformations affect not only electoral politics, but also the selection of political elites in postindustrial democracies.	Legislative Studies and Party Politics
2021	0371	133	The Political Economy of Rental Housing	Housing costs form a significant proportion of any voters monthly expenditure. While a growing literature has studied the political implications of house prices and house ownership, much less is known about the political economy of housing in countries dominated by rental markets. Starting from the observation that renting property follows a fundamentally different market experience than owning property, we develop an original argument that highlights that the political implications of rental market exposure reach well beyond pocketbook considerations. Changing rental prices create an imminent source of insecurity, which threatens individuals far beyond the poorest strata of society and may make affected voters susceptible to the promises of anti-system parties. We rely on a novel data source containing unusually detailed information on cost and quality of local rental markets over time in Germany, the country with the highest share of citizens living in rented apartments in the entire European Union. We merge this data by postcode with individual-level panel data. Our analysis is based on a rigorous set of fixed-effects specifications and provides strong empirical evidence for our guiding hypothesis on both the household- and the neighborhood-level.	Elections, Public Opinion, and Voting Behaviour
2021	0355	99	The individual dynamics of gender backlash and far right support	This paper examines the individual dynamics of sexist attitudes and its consequences for support for the far right. The empirical analysis focuses on the case of Spain, which has recently witnessed a strong wave of feminist mobilization followed by the sudden electoral surge of the radical-right party Vox. We use unique panel survey data tracking individual attitudes of sexism and voting behavior yearly during the same period (2017-2020). Sexist attitudes are measured using the modern sexism scale (Swim et al. 1995), which captures the key dimensions of the Spanish far-right discourse regarding gender, i.e. denial of continued discrimination against women, antagonism towards women’s demands, and lack of support for policies designated to help women. Our paper makes three significant contributions. First, the results of mixed growth models show that levels of sexism change in the short term in a way that is compatible with a within-individual backlash effect. Citizens are seemingly reactive to contextual political events in their levels of sexism. Second, we show that sexism is a key predictor of vote choice for the radical right, outweighing in explanatory power all other sociodemographic and attitudinal predictors (including nativism and nationalism) with the exception of left-right self-identification. Finally, we show that the gender gap in radical right support can be accounted for considering sexism. Overall, our findings provide evidence of the existence of individual-level gender backlash effects, and highlight the importance of sexism as a fundamental individual predictor of far right support.	Elections, Public Opinion, and Voting Behaviour
2021	0387	555	We have been left behind, haven't we? Economic status loss, class voting and the populist radical right	A growing body of research attempts to reconcile economic and cultural explanations of populist radical right (PRR) voting by highlighting citizens' resentment against their gradual marginalisation within society. Nonetheless, widespread speculations about the deteriorating relative economic position of PRR voters are not supported by proper empirical evidence. To address this shortage, the present study first provides a theoretical discussion of the electoral consequences of economic status loss by bridging multidisciplinary literature on relative economic inequality and group deprivation; subsequently, it assesses such consequences empirically, by means of a novel measure of economic status loss. Our multilevel analysis on ESS and EU-SILC data on 19 elections (2008-2017) across 9 Western European countries demonstrates that PRR parties are most successful among social classes facing a collective decrease in economic status – rather than material deprivation per se. More specifically, voters from social classes that have moved farther away from the affluent than from the poor in income terms feature higher chances of voting for PRR parties. This result is robust across several model specifications. Additional analysis reveals that this finding is not driven by any specific electoral alternative, that is neither the left nor the centre-right taken individually. Furthermore, our analysis does not confirm that the experience of material deprivation at the class level affects PRR voting, which is consistent with prior studies. This result is consequential for scholarly debates on the reasons for class PRR alignment and on the electoral repercussions of economic inequalities.	Elections, Public Opinion, and Voting Behaviour
2021	0339	596	'Protect our women': The effects of gendered anti-immigration frames	As populist radical right-wing parties (PRRPs) have gained electoral and political leverage across Europe, it is still contested what explains their increasing acceptability. Parties might try to engage in a variety of strategies to make themselves feel and appear more mainstream without actually changing their policy positions. By framing their most controversial, 'unacceptable' policy positions in more normatively acceptable ways, radical right-wing parties might try to present themselves as a respectable political option, especially for voters traditionally underrepresented in these parties. In this paper, I examine the effects of one particular frame used by the radical right: using women's protection and gender equality to justify anti-immigration claims. I argue that these gendered immigration frames make anti-immigration policies more acceptable. Through survey experiments conducted in Germany and Norway, I find that gendered anti-immigration messages make voters more likely to express anti-immigration preferences and to report voting for the radical right. These findings have important implications for our understanding of how previously unacceptable positions become normalised, and how gender equality rhetoric is used as a powerful legitimising device to this end.	Elections, Public Opinion, and Voting Behaviour
2021	0384	247	The Social Status Hierarchy and Its Cultural and Economic Determinants	This paper applies a conjoint experiment to analyze the cultural and economic sources of social status. The great potential of the concept of social status to capture perceptions of decline is now widely recognized in political science. Phenomena like the increasing success of radical right parties have been traced back to a sense of status loss - not being respected and valued by society anymore - among their voters. However, the multidimensional nature of status has not been sufficiently addressed yet, as economic as well as cultural grievances could drive this sense of status loss. This paper addresses this gap by disentangling economic and cultural dimensions of social status, made possible by an innovative conjoint design. The paper proceeds in two steps: First, it examines the separate influence of socioeconomic and sociocultural characteristics on the perceived status hierarchy. Does a sense of societal worth depend solely on socioeconomic factors like income, education and occupation? Or do sociocultural factors like gender, race and sexuality also play a role? Second, it takes into account how both dimensions interact in their influence on status perceptions. For example, do cultural gender norms shape the prestige of occupations in a diverging way for men and women? This paper relies on original survey data from Switzerland, a country with a strong radical right party. The embedded conjoint experiment asked respondents to situate fictive people with randomized characteristics on the societal hierarchy. Overall, the paper lays a foundation for understanding perceptions of decline more closely.	Elections, Public Opinion, and Voting Behaviour
2021	0340	272	Are social media campaigns reaching young people? Mobilising the youth vote in the 2019 UK General Elections	Voter registration among young people is significantly lower and they turn out less than older voters. Moreover, they are hard to reach with conventional registration methods such as canvassing and direct mail. As of late there have been large-scale attempts to register and mobilise young voters via social media campaigns on various platforms, both by partisan and non-partisan actors. However, there is a lot of scepticism regarding whether social media campaigns are effective. The experimental literature suggests that the effect of social media ads on persuasion and mobilisation are positive but small (Bond 2012, Hager 2019). In this field experiment, we worked with a non-partisan organisation to test if their social media registration drive on Instagram and Snapchat was effective at registering young people to vote in the 2019 UK General Election. In a large-scale RCT – the first of its kind - we assigned 879 postcode sectors located within 40 parliamentary constituencies to four groups: control, one group that received voter registration video ads. These messages were targeted towards young people aged 18-35 years. We collected voter registration at the polling district level (polling stations can perfectly be matched to postcode sectors) and from official voter registers to test whether social media campaigns targeted towards young people can increase voter registration and turnout.	Elections, Public Opinion, and Voting Behaviour
2021	0385	515	Collective Resentment and Protest Vote	How does protest vote emerge in left-behind communities? We exploit individual data from a large survey of British households to study the significant increase in the support for the UK Independence Party (UKIP) in Great Britain in the aftermath of the financial crisis. We find that voters are more likely to support UKIP when they identify with their community and, at the same time, a larger number of people in their community experience resentment induced by a worsening of their relative income position. These findings shed new light on the key elements of resentment in communities that are left-behind by the pace of economic development.	Comparative Politics
2021	0388	560	The Effect of Compulsory Civic Duty on Turnout	We study the effects of compulsory civic duty on turnout. We take advantage of a natural experiment provided by the organization of Spanish Elections. In Spain there is a lottery to select individuals that will act as electoral administrators on the election day. Being an electoral administrator is compulsory. We study whether acting as an administrator changes turnout in subsequent elections and attitudes about democracy and elections. We find that compulsory civic duty has a strong short-term and positive effect on electoral participation but has no effect on political attitudes. This is consistent with political theories that argue that voting costs are reduced when voting habits have been developed and with psychological theories that argue that habit formation activates behaviors consistent with individuals’ underlying values without necessary changing those values.	Elections, Public Opinion, and Voting Behaviour
2021	0356	81	Poll Workers and the habit of voting	Does direct participation in the electoral process contribute to increase turn out in future electoral contests? In many countries, polling officers are chosen by lot among all registered voters in the precinct. This fact makes it a perfect natural experiment in order to test the effect of random assignment into direct involvement in electoral procedures. Employing real validated turnout data from elections in Catalonia during the 1930s it is possible towe trace real individual-level data on turnoutconstruct an individual-level panel dataset across all elections that took place during the Spanish Second Republic period and examine whether participating in the organization of the elections increased an individual’s propensity to participate. Employing a novel data set of polling officers in 1933 elections, we employ a Difference-in-differences strategy in order to assess whether these individuals were more likely to turn out to vote after their appointment as polling officers. WeOur expectation is that that the appointment of officers should have a positive effect and increase turnout, especially for low-skilled individuals, women and for individuals living in less-politicized environments.	Elections, Public Opinion, and Voting Behaviour
2021	0372	570	The Effect of Vocational Education on Voter Choice	Past literature has shown that university graduates are a distinct electoral block who are more likely to vote for liberal and green parties as compared to other voters. However, there is little scholarly work examining how different educational training systems affect voter choice. Specifically, how does vocational as opposed to higher education affect voter choice? We utilise the 2010 - 2018 rounds of the European Social Survey to examine the effect of vocational education and differing kinds of vocational education in the case of Germany. For this research, Germany is the appropriate case due to vocational training being widespread across all sectors of the economy. We find that the within-group diversity in terms of voter choice of those who undergo vocational training is lower as compared to those who undergo other forms of education. Second, we find that as a group those who undergo vocational training are overall comparatively more likely to vote for the CDU. These findings are significant because the overall demographic composition of an electorate will shape electoral outcomes. Our contribution therefore brings new light on the effect of vocational training on voter choice.	Elections, Public Opinion, and Voting Behaviour
2021	0357	72	The Meaning of Work: a Mediating Link Between Socioeconomic Status and Economic Policy Preferences	Modern capitalist societies are defined by several important socioeconomic cleavages that shape the political arena. Differing political attitudes are commonly related to socioeconomic and demographic characteristics of the people that hold them. This study argues that a perspective essential to understanding these cleavages and how they relate to political attitude formation is the meaning people attribute to the act of working – what role work plays in their personal lives, how it is manifested in their social relations and why they engage in such an activity in the first place. Using latent class analysis to examine data from the 2017 European Value Survey (EVS 5) regarding 12 European advanced economies, I inductively identify three distinct classes of people who attach different meanings to work: a traditional work ethic class, a post-productivist class, and an intermediate class. I find that attaching different meanings to work is correlated with important labor market cleavages (gender, age, education, occupation, and insider/outsider status) on the one hand, and with economic policy preferences on the other. These findings imply that while socioeconomic status may determine one's economic interests, and that these interests may predict economic policy preferences, another path may exist – socioeconomic status predicts the meaning one attributes to work, and the meaning attached to work predicts economic policy preferences.	Elections, Public Opinion, and Voting Behaviour
2021	0341	208	How the Workplace affects Employee Political Contributions	How important is one’s employer for individual decisions to donate? Despite the fundamental role of employment for individual’s livelihoods, little attention has been given to how the workplace impacts employees’ political contributions. I use donations of employees and Political Action Committees (PACs) of 12,737 public companies between 2003 and 2018 to show that 16.7 percent of employee donations go to employer-supported politicians. I investigate the dynamic relationship between employee and PAC donations within firm-politician pairs over time and find that employees contribute 17.4% more dollars to company-supported politicians. Firm-employee alignment is stronger on powerful and ideologically moderate legislators with high value for one’s employer. Results from a difference-in-differences design show that high-ranking employees even change the partisanship of their donations in line with their employer, suggesting investment-related rather than ideological motives for alignment. In sum, corporations and the workplace might be even more important in shaping political contributions than previously thought.	Political Economy, Public Policy and Administration
2021	0373	287	Does Industrialization Cause Democratization? Quasi-Experimental Evidence from the Norwegian and Swiss Industrial Revolution	Prominent theories of the origins of democracy suggests that industrialization was a driving force for democratization in the 19th and early 20th century. While there is some cross-country evidence on such a link, we know little about whether this effect is causal, and what causal mechanisms may mediate this relationship. We utilize two novel datasets to explore how industrialization drives historical democratization. In Norway, 1879 to 1913, we consider whether MPs from industrializing constituencies were more likely to vote for democratic reforms. In Switzerland, 1860-1920, we study whether more rapidly industrializing cantons were more likely to introduce referenda and other instruments of direct democracy. To support a causal interpretation we exploit that Norwegian municipalities and Swiss cantons with a greater geographical potential for hydropower were significantly more likely to industrialize after the invention of hydroelectricity.	Comparative Politics
2021	0374	382	Does Party-System Fragmentation Affect the Quality of Democracy?	Given their central role in the process of decision making, party-systems are usually expected to affect a number of democratic outcomes. Research on this topic, however, has suffered from problems of endogeneity stemming from the fact that the characteristics of the party system are endogenous to many other dynamics in a polity. We overcome this issue by putting forward an instrument for the number of parties in a system, based on the level of fragmentation added by parties that narrowly make it to parliament. We then test the effect of party-system fragmentation on the quality of democracy, drawing upon a large battery of outcomes. Running against previous literature, we find that a higher number of parties leads to more fractionalized governments, but it has no impact on other democratic outcomes. The null effect persists after using a large number of different model specifications, operationalizations of the treatment variable and subsamples. Our results cast doubt on the normative implications of party-system fragmentation.	Comparative Politics
2021	0358	135	The effect of social influencers on electoral outcomes: Evidence from a natural experiment	Do social influencers affect election outcomes? Through social media platforms such as Facebook, YouTube and Instagram, social influencers can reach millions of people turning them into important opinion leaders in their respective societies. However, research on social influencers is scarce and so far largely limited to marketing research. In this paper, I will therefore address this shortcoming in the literature by analyzing the effect of social media influencers on electoral outcomes. Empirically, I will exploit a natural experiment that occurred during the 2019 European election campaign. 6 days before the 2019 EP election, the German social influencer and YouTube comedian Rezo published a video in which he severely attacks the Christian Democratic Union (CDU) that was watched by over 15 million users. I will identify the causal effect of the Rezo video on the election outcome by relying on a differences-in-differences analysis. More specifically, I will compare the vote share for the CDU among postal votes that are typically cast a number of days before the election (control group) and in-person votes (treatment group) since only the latter have been exposed to the video. The results of this study have major implications for our understanding of the relationship between social media, electoral competition and political representation.	Comparative Politics
2021	0342	132	Information and Perceptions of Election Fraud, Judicial Rulings, and Diffuse Political Support	Consciousness of election fraud has been shown to let individuals withdraw support from candidates allegedly involved in manipulation and to depress citizens’ expressed legitimacy of the elected government that stems out of processes which are perceived to be fraudulent. We outline a theory of attitudinal spillover which argues that information about electoral malpractice will lead individuals to extrapolate legitimacy loss even to political institutions that are unrelated to electoral administration. This theory predicts that consciousness about electoral misconduct won’t let individuals merely detach from the institutions linked to misbehavior and the regime that surged out of an illegitimate election process, but turn their backs on the political system as a whole. Second, we examine if within-system corrections like successful court punishments of alleged fraud perpetrators can moderate decays in diffuse system support. We present empirical evidence from a pre-registered online survey experiment conducted in Mexico and Russia as well as causal estimates from statistical matching techniques based on cross-national survey data. Our findings hold important implications for the study of electoral integrity in new democracies as well as electoral autocracies and its consequences for democratic consolidation and regime stability.	Comparative Politics
2021	0359	76	The Regional Governance of Immigrant Reception: Mercosur before the presence of Venezuelans in South America	Since the 2000s, MERCOSUR, the Southern Common Market of Argentina, Brazil, Paraguay, and Uruguay, established different mechanisms supporting the mobility and protection of intraregional migrants, as in the case of the MERCOSUR Residence Agreement. However, the current socio-political collapse of the post-Hugo Chávez regime in Venezuela represented a major challenge to this approach as millions of Venezuelans emigrated to neighbouring countries in the region. In this context, MERCOSUR has faced important pressures to steer governance arrangements that respond to the migration of Venezuelans based on a human rights approach. Against this backdrop, our paper looks into the role of MERCOSUR in the regional governance by asking how and why has (not) the regional organisation reconciled top-down (i.e. nation-states) and bottom-up (i.e. civil society and sub-national governments) approaches to immigrant reception? By looking into Mercosur, the paper contributes to assessing whether and how the regional level works as an adequate regulatory mechanism where states and constellations of non-state actors and networks cooperate in the response to common regional challenges derived from human mobility. Our question is highly relevant as concerted and multilateral responses to migration based on a human rights approach have been, until the recent approval of the 2018 Global Compacts on Migration and Refugees, elusive at a global scale.	Political Economy, Public Policy and Administration
